State,Dem,Rep,Date,Pollster
AK,33,64,Sep 09 2008,Rasmussen
AK,35,54,Sep 02 2008,IvanMooreResearch
AK,37,55,Sep 21 2008,FairleighDickinsonU
AK,38,55,Oct 06 2008,IvanMooreResearch
AK,39,44,Jul 30 2008,Rasmussen
AK,39,55,Sep 11 2008,ARG
AK,40,45,Jul 17 2008,Rasmussen
AK,40,55,Oct 06 2008,Rasmussen
AK,41,45,Jun 16 2008,Rasmussen
AK,41,50,May 14 2008,Rasmussen
AK,41,57,Oct 28 2008,Rasmussen
AK,42,53,Oct 19 2008,IvanMooreResearch
AK,43,48,Apr 07 2008,Rasmussen
AK,43,48,Feb 28 2008,SurveyUSA
AL,25,52,Sep 15 2008,UofSouthAlabama
AL,29,63,Jan 17 2008,SurveyUSA
AL,30,57,Mar 27 2008,UofSouthAlabama
AL,32,60,May 27 2008,Rasmussen
AL,32,64,Apr 13 2008,SurveyUSA
AL,33,57,Jun 02 2008,CapitalSurvey
AL,34,47,Aug 04 2008,CapitalSurvey
AL,34,54,Oct 16 2008,CapitalSurvey
AL,34,57,May 18 2008,SurveyUSA
AL,34,64,Sep 17 2008,SurveyUSA
AL,35,55,Oct 07 2008,CapitalSurvey
AL,35,55,Sep 09 2008,CapitalSurvey
AL,35,62,Mar 16 2008,SurveyUSA
AL,35,62,Oct 09 2008,SurveyUSA
AL,36,49,Jun 26 2008,CapitalSurvey
AL,36,51,Jun 26 2008,Rasmussen
AL,36,55,Apr 24 2008,CapitalSurvey
AL,36,58,Sep 16 2008,ARG
AL,36,61,Oct 28 2008,SurveyUSA
AL,37,55,Apr 02 2008,Rasmussen
AL,37,55,Jul 31 2008,Rasmussen
AL,39,60,Sep 22 2008,Rasmussen
AL,40,54,Feb 28 2008,SurveyUSA
AR,27,43,Mar 11 2008,OpinionRes
AR,30,59,Mar 18 2008,Rasmussen
AR,33,53,Feb 28 2008,SurveyUSA
AR,33,57,May 12 2008,Rasmussen
AR,36,51,Oct 21 2008,UofArkansas
AR,37,47,Jul 14 2008,Rasmussen
AR,39,48,Jun 12 2008,Rasmussen
AR,41,45,Jun 16 2008,Rasmussen
AR,41,53,Sep 22 2008,ARG
AR,42,51,Sep 22 2008,Rasmussen
AR,44,51,Oct 31 2008,ARG
AR,44,54,Oct 27 2008,Rasmussen
AZ,28,38,Jun 21 2008,ArizonaStateU
AZ,30,40,Aug 16 2008,ArizonaStateU
AZ,33,55,Apr 08 2008,NorthernArizonaU
AZ,36,52,Jul 30 2008,Rasmussen
AZ,37,57,Apr 15 2008,Rasmussen
AZ,38,45,Sep 28 2008,ArizonaStateU
AZ,38,47,Apr 27 2008,ArizonaStateU
AZ,38,49,Feb 24 2008,ArizonaStateU
AZ,38,59,Sep 29 2008,Rasmussen
AZ,39,50,May 20 2008,RockyMtnPoll
AZ,39,51,Feb 28 2008,SurveyUSA
AZ,39,56,Sep 14 2008,ARG
AZ,40,49,Jun 25 2008,Rasmussen
AZ,41,47,Aug 15 2008,MasonDixon
AZ,41,49,Oct 27 2008,NorthernArizonaU
AZ,42,44,Oct 19 2008,Zimmerman
AZ,44,46,Oct 26 2008,ArizonaStateU
AZ,44,48,Oct 28 2008,MasonDixon
AZ,46,50,Oct 30 2008,ARG
AZ,46,51,Oct 26 2008,Rasmussen
AZ,46,53,Oct 28 2008,OpinionResearch
CA,47,40,May 21 2008,LATimes
CA,48,39,Aug 19 2008,PubPolicyInstofCalif
CA,49,40,Mar 18 2008,PublicPolicyInstofCalif
CA,49,41,May 18 2008,SurveyUSA
CA,50,35,Jul 22 2008,PubPolicyInstofCalif
CA,50,38,Jul 24 2008,Rasmussen
CA,50,40,Sep 16 2008,PublicPolicyInstofCalif
CA,50,43,Apr 13 2008,SurveyUSA
CA,50,43,Apr 16 2008,Rasmussen
CA,51,37,Aug 20 2008,Rasmussen
CA,51,40,Feb 28 2008,SurveyUSA
CA,52,35,May 27 2008,FieldPoll
CA,52,36,Sep 14 2008,FieldPoll
CA,52,38,May 20 2008,Rasmussen
CA,53,38,Mar 12 2008,Rasmussen
CA,53,39,Sep 20 2008,ARG
CA,53,41,Jun 19 2008,SurveyUSA
CA,53,43,Sep 24 2008,SurveyUSA
CA,54,30,Jul 14 2008,FieldPoll
CA,54,40,Mar 16 2008,SurveyUSA
CA,55,33,Oct 28 2008,FieldPoll
CA,55,39,Oct 05 2008,SurveyUSA
CA,56,33,Oct 19 2008,PublicPolicyInstofCalif
CA,56,39,Sep 22 2008,Rasmussen
CA,56,40,Oct 09 2008,Rasmussen
CA,58,30,Jun 23 2008,Rasmussen
CA,59,35,Oct 16 2008,SurveyUSA
CA,60,36,Oct 31 2008,SurveyUSA
CA,61,34,Feb 17 2008,SurveyUSA
CA,61,34,Oct 25 2008,Rasmussen
CO,41,44,Aug 13 2008,RockyMtnPoll
CO,43,41,Jun 17 2008,Rasmussen
CO,44,39,Aug 24 2008,SuffolkU
CO,44,43,Sep 23 2008,CiruliAssoc
CO,44,44,Oct 01 2008,MasonDixon
CO,44,46,Jul 22 2008,QuinnipiacU
CO,44,46,Sep 13 2008,ARG
CO,45,44,Sep 15 2008,FinancialDynamics
CO,45,47,Aug 13 2008,Rasmussen
CO,45,48,Sep 25 2008,ARG
CO,46,43,Apr 16 2008,Rasmussen
CO,46,43,Aug 15 2008,MasonDixon
CO,46,46,Mar 17 2008,Rasmussen
CO,46,47,Aug 21 2008,QuinnipiacU
CO,46,47,Aug 26 2008,OpinionResearch
CO,46,48,Sep 14 2008,Rasmussen
CO,47,43,Oct 13 2008,SuffolkU
CO,48,42,May 19 2008,Rasmussen
CO,48,44,Oct 27 2008,FinancialDynamics
CO,49,42,Jul 21 2008,Rasmussen
CO,49,44,Jun 24 2008,QuinnipiacU
CO,49,44,Oct 29 2008,MasonDixon
CO,49,45,Sep 21 2008,QuinnipiacU
CO,49,46,Sep 07 2008,Rasmussen
CO,49,46,Sep 10 2008,InsiderAdvantage
CO,49,48,Sep 28 2008,Rasmussen
CO,50,41,Feb 28 2008,SurveyUSA
CO,50,41,Oct 26 2008,GfKRoper
