State,Dem,Rep
AK,37.9,59.4
AL,38.7,60.3
AR,38.9,58.7
AZ,45.1,53.6
CA,61.0,37.0
CO,53.7,44.7
CT,60.6,38.2
DC,92.5,6.5
DE,61.9,36.9
FL,51.0,48.2
GA,47.0,52.2
HI,71.8,26.6
IA,53.7,44.2
ID,36.1,61.5
IL,61.9,36.8
IN,49.9,48.9
KS,41.7,56.6
KY,41.2,57.4
LA,39.9,58.6
MA,61.8,36.0
MD,61.9,36.5
ME,57.7,40.4
MI,57.4,41.0
MN,54.1,43.8
MO,49.3,49.4
MS,43.0,56.2
MT,47.3,49.5
NC,49.7,49.4
ND,44.6,53.3
NE,41.6,56.5
NH,54.4,44.7
NJ,57.3,41.7
NM,56.9,41.8
NV,55.1,42.7
NY,62.8,36.1
OH,51.5,46.9
OK,34.4,65.6
OR,56.7,40.4
PA,54.3,44.0
RI,63.1,35.2
SC,44.9,53.9
SD,44.7,53.2
TN,41.8,56.9
TX,43.7,55.5
UT,34.4,62.6
VA,52.6,46.3
VT,67.5,30.4
WA,57.7,40.5
WI,56.2,42.3
WV,42.6,55.7
WY,32.4,64.4
