State,Dem,Rep,Date,Pollster
AK,37,59,Nov 04 2008,2008Election
AL,36,51,Jun 27 2012,CapitalSurvey
AL,36,54,Aug 16 2012,CapitalSurvey
AR,31,58,Oct 14 2012,UofArkansas
AR,35,56,Sep 17 2012,HendrixColl
AZ,37,43,Jan 09 2012,RockyMtnPoll
AZ,40,42,Apr 12 2012,ArizonaStateU
AZ,40,42,Apr 20 2012,ArizonaStateU
AZ,40,45,Feb 20 2012,MaristColl
AZ,40,51,Mar 13 2012,Rasmussen
AZ,41,52,Jul 25 2012,PPP
AZ,41,54,Jun 26 2012,Rasmussen
AZ,42,40,Apr 17 2012,RockyMtnPoll
AZ,42,46,Sep 26 2012,MooreConsulting
AZ,42,52,Sep 25 2012,Rasmussen
AZ,43,50,May 20 2012,PPP
AZ,44,42,Oct 10 2012,RockyMtnPoll
AZ,44,52,Oct 21 2012,Rasmussen
AZ,44,53,Oct 03 2012,PPP
AZ,44,53,Sep 09 2012,PPP
AZ,45,48,Sep 19 2012,PurpleStrategies
AZ,46,49,Jun 05 2012,PPP
AZ,46,53,Nov 03 2012,PPP
AZ,47,47,Feb 19 2012,PPP
CA,48,32,May 29 2012,FieldPoll
CA,50,39,May 20 2012,PublicPolicyInstofCalif
CA,51,40,Jul 24 2012,PublicPolicyInstofCalif
CA,52,30,Feb 02 2012,PPP
CA,52,33,Jul 17 2012,PepperdineU
CA,53,38,Oct 15 2012,PrincetonSurvey
CA,53,39,Oct 09 2012,SurveyUSA
CA,53,39,Sep 16 2012,PublicPolicyInstofCalif
CA,53,41,Oct 21 2012,PublicPolicyInstofCalif
CA,54,33,Oct 10 2012,PepperdineU
CA,54,39,Oct 30 2012,FieldPoll
CA,54,40,Oct 21 2012,LosAngelesTimes
CA,55,33,Sep 12 2012,PepperdineU
CA,55,35,Feb 18 2012,FieldPoll
CA,55,37,Jul 02 2012,FieldPoll
CA,56,33,Aug 07 2012,TulchinResearch
CA,56,33,Oct 28 2012,PepperdineU
CA,56,37,May 21 2012,LosAngelesTimes
CA,57,35,Feb 16 2012,Rasmussen
CA,57,35,Sep 11 2012,SurveyUSA
CA,57,36,Mar 19 2012,LosAngelesTimes
CA,57,36,May 29 2012,SurveyUSA
CA,58,34,Sep 17 2012,FieldPoll
CA,60,31,Feb 09 2012,SurveyUSA
CA,62,31,Apr 02 2012,SurveyUSA
CO,45,44,Jul 13 2012,PurpleStrategies
CO,45,45,Jun 06 2012,Rasmussen
CO,45,46,Oct 30 2012,IPSOS
CO,45,47,Sep 17 2012,Rasmussen
CO,45,50,Aug 06 2012,QuinnipiacU
CO,46,43,Oct 24 2012,ProjectNewAmerica
CO,46,45,May 24 2012,MaristColl
CO,46,47,Nov 01 2012,IPSOS
CO,46,50,Oct 08 2012,ARG
CO,46,50,Oct 21 2012,Rasmussen
CO,47,43,Oct 05 2012,Selzer
CO,47,45,Oct 31 2012,SurveyUSA
CO,47,46,Oct 25 2012,PurpleStrategies
CO,47,46,Sep 12 2012,SurveyUSA
CO,47,47,Apr 23 2012,PurpleStrategies
CO,47,47,Aug 06 2012,Rasmussen
CO,47,48,Oct 09 2012,QuinnipiacU
CO,47,48,Oct 10 2012,SurveyUSA
CO,47,48,Oct 28 2012,ARG
CO,47,50,Oct 29 2012,Rasmussen
CO,48,45,Sep 19 2012,PurpleStrategies
CO,48,46,Jun 05 2012,PurpleStrategies
CO,48,47,Sep 17 2012,QuinnipiacU
CO,48,48,Nov 04 2012,IPSOS
CO,48,48,Oct 24 2012,MaristColl
CO,49,42,Jun 17 2012,PPP
CO,49,43,Aug 05 2012,PPP
CO,49,46,Aug 14 2012,PurpleStrategies
CO,49,46,Sep 02 2012,PPP
CO,49,47,Sep 12 2012,ARG
CO,49,48,Oct 07 2012,Rasmussen
CO,49,48,Oct 31 2012,CallFire
CO,50,45,Sep 18 2012,MaristColl
CO,50,47,Oct 18 2012,PPP
CO,50,48,Oct 31 2012,ORCInternational
CO,51,45,Sep 23 2012,PPP
CO,51,47,Oct 25 2012,PPP
CO,52,46,Nov 04 2012,PPP
CO,53,40,Apr 07 2012,PPP
CO,55,44,Mar 04 2012,QuinnipiacU
CT,49,42,Oct 17 2012,MasonDixon
CT,50,37,Feb 02 2012,PulseOpinionResearch
CT,50,38,Jun 03 2012,QuinnipiacU
CT,51,37,Oct 16 2012,UofConnecticut
CT,51,43,Aug 21 2012,Rasmussen
CT,51,43,Jul 29 2012,PPP
CT,51,45,Oct 07 2012,Rasmussen
