State,Electors,Obama,%,McCain,%,Nader,%,Barr,%,Baldwin,%,McKinney,%,Others votes,%,Obama Ð McCain,Obama + McCain
Alabama,9,"813,479",38.74,"1,266,546",60.32,"6,788",0.323,"4,991",0.238,"4,310",0.205,,,"3,705",0.176,_21.58,99.06
Alaska,3,"123,594",37.89,"193,841",59.42,"3,783",1.16,"1,589",0.487,"1,660",0.509,,,"1,730",0.53,_21.54,97.31
Arizona,10,"1,034,707",45.12,"1,230,111",53.64,"11,301",0.493,"12,555",0.547,"1,371",0.06,"3,406",0.149,24,0.001,_8.52,98.75
Arkansas,6,"422,310",38.86,"638,017",58.72,"12,882",1.19,"4,776",0.44,"4,023",0.37,"3,470",0.319,"1,139",0.105,_19.85,97.58
California,55,"8,274,473",61.01,"5,011,781",36.95,"108,381",0.799,"67,582",0.498,"3,145",0.023,"38,774",0.286,"57,764",0.426,24.06,97.97
Colorado,9,"1,288,576",53.66,"1,073,589",44.71,"13,350",0.556,"10,897",0.454,"6,233",0.26,"2,822",0.118,"5,894",0.245,8.95,98.37
Connecticut,7,"997,772",60.59,"629,428",38.22,"19,162",1.16,,,311,0.019,90,0.005,29,0.002,22.37,98.81
Delaware,3,"255,459",61.94,"152,374",36.95,"2,401",0.582,"1,109",0.269,626,0.152,385,0.093,58,0.014,25,98.89
District of Columbia,3,"245,800",92.46,"17,367",6.53,958,0.36,,,,,590,0.222,"1,138",0.428,85.92,98.99
Florida,27,"4,282,074",51.03,"4,045,624",48.22,"28,124",0.335,"17,218",0.205,"7,915",0.094,"2,887",0.034,"6,902",0.082,2.82,99.25
Georgia,15,"1,844,123",46.99,"2,048,759",52.2,"1,158",0.03,"28,731",0.732,"1,402",0.036,250,0.006,63,0.002,_5.21,99.19
Hawaii,4,"325,871",71.85,"120,566",26.58,"3,825",0.843,"1,314",0.29,"1,013",0.223,979,0.216,,,45.26,98.43
Idaho,4,"236,440",36.1,"403,012",61.53,"7,175",1.1,"3,658",0.558,"4,747",0.725,,,,,_25.43,97.62
Illinois,21,"3,419,348",61.92,"2,031,179",36.78,"30,948",0.56,"19,642",0.356,"8,256",0.15,"11,838",0.214,"1,160",0.021,25.14,98.7
Indiana,11,"1,374,039",49.95,"1,345,648",48.91,909,0.033,"29,257",1.06,"1,024",0.037,87,0.003,90,0.003,1.03,98.86
Iowa,7,"828,940",53.93,"682,379",44.39,"8,014",0.521,"4,590",0.299,"4,445",0.289,"1,423",0.093,"7,332",0.477,9.53,98.32
Kansas,6,"514,765",41.65,"699,655",56.61,"10,527",0.852,"6,706",0.543,"4,148",0.336,35,0.003,36,0.003,_14.96,98.26
Kentucky,8,"751,985",41.17,"1,048,462",57.4,"15,378",0.842,"5,989",0.328,"4,694",0.257,,,,,_16.23,98.57
Louisiana,9,"782,989",39.93,"1,148,275",58.56,"6,997",0.357,,,"2,581",0.132,"9,187",0.469,"10,732",0.547,_18.63,98.5
ME 1st Dist.,1,"232,145",60.51,"144,604",37.69,"5,263",1.37,,,,,"1,362",0.355,252,0.066,22.82,98.21
ME 2nd Dist.,1,"189,778",54.61,"150,669",43.35,"5,373",1.55,,,,,"1,538",0.443,179,0.052,11.25,97.96
Maryland,10,"1,629,467",61.92,"959,862",36.47,"14,713",0.559,"9,842",0.374,"3,760",0.143,"4,747",0.18,"9,205",0.35,25.44,98.39
Massachusetts,12,"1,904,097",61.8,"1,108,854",35.99,"28,841",0.936,"13,189",0.428,"4,971",0.161,"6,550",0.213,"14,483",0.47,25.81,97.79
Michigan,17,"2,872,579",57.43,"2,048,639",40.96,"33,085",0.661,"23,716",0.474,"14,685",0.294,"8,892",0.178,170,0.003,16.47,98.39
Minnesota,10,"1,573,354",54.06,"1,275,409",43.82,"30,152",1.04,"9,174",0.315,"6,787",0.233,"5,174",0.178,"10,319",0.355,10.24,97.88
Mississippi,6,"554,662",43,"724,597",56.18,"4,011",0.311,"2,529",0.196,"2,551",0.198,"1,034",0.08,481,0.037,_13.17,99.18
Missouri,11,"1,441,911",49.29,"1,445,814",49.43,"17,813",0.609,"11,386",0.389,"8,201",0.28,80,0.003,,,_0.13,98.72
