hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
24-HOUR MAN/EMMANUEL,Hero,6,1,6,6,1
3-D MAN/CHARLES CHAN,Hero,157,9,123,1107,0.141824752
4-D MAN/MERCURIO,Villain,127,9,73,657,0.193302892
8-BALL/,Hero,24,3,15,45,0.533333333
A,Hero,20,3,9,27,0.740740741
A'YIN,Hero,59,4,22,88,0.670454545
"ABBOTT, JACK",Hero,9,1,9,9,1
ABCISSA,Hero,25,2,16,32,0.78125
ABEL,Hero,22,2,12,24,0.916666667
ABOMINATION | MUTANT,Villain,49,1,49,49,1
ABOMINATION/EMIL BLO,Villain,412,45,191,8595,0.047934846
ABOMINATRIX,Villain,17,3,7,21,0.80952381
ABRAXAS,Villain,43,4,22,88,0.488636364
ABSALOM,Villain,61,4,42,168,0.363095238
ABSORBING MAN | MUTA,Villain,49,1,49,49,1
ABSORBING MAN/CARL C,Villain,1064,71,279,19809,0.053712959
ACBA,Hero,35,1,35,35,1
"ACHEBE, REVEREND DOC",Hero,139,12,47,564,0.246453901
ACHILLES,Hero,6,1,6,6,1
ACHILLES II/HELMUT,Hero,182,15,60,900,0.202222222
ACROBAT/CARL ZANTE,Villain,12,3,7,21,0.571428571
"ADAM 3,031",Hero,51,4,16,64,0.796875
ADAM X,Hero,38,4,30,120,0.316666667
"ADAMS, CINDY",Hero,118,10,50,500,0.236
"ADAMS, CONGRESSMAN H",Hero,11,1,11,11,1
"ADAMS, GEORGE",Hero,13,2,8,16,0.8125
"ADAMS, MARTHA",Hero,13,2,8,16,0.8125
"ADAMS, NICOLE NIKKI",Hero,252,21,70,1470,0.171428571
"ADAMSON, JASON",Hero,14,3,5,15,0.933333333
"ADAMSON, REBECCA",Hero,14,3,5,15,0.933333333
ADMIRAL PROTOCOL/,Hero,136,8,46,368,0.369565217
ADORA,Hero,121,11,59,649,0.186440678
ADORA CLONE,Hero,17,2,16,32,0.53125
ADRIA,Hero,19,4,11,44,0.431818182
ADVA,Hero,103,8,39,312,0.330128205
ADVENT/KYLE GROBE,Hero,40,3,18,54,0.740740741
ADVERSARY,Villain,201,13,51,663,0.303167421
AEGIS/TREY ROLLINS,Hero,157,11,67,737,0.21302578
AENTAROS,Hero,100,6,30,180,0.555555556
AFTERLIFE,Hero,14,2,11,22,0.636363636
AGAMEMNON,Hero,6,1,6,6,1
AGAMEMNON II/ANDREI,Hero,4,1,4,4,1
AGAMEMNON III/,Hero,193,15,57,855,0.225730994
AGAMOTTO,Hero,108,12,41,492,0.219512195
"AGARN, CAPT.",Hero,13,1,13,13,1
AGED GENGHIS,Hero,59,8,26,208,0.283653846
"AGEE, DR. AUBREY",Hero,72,5,38,190,0.378947368
"AGEE, REBECCA",Hero,22,2,18,36,0.611111111
AGENT 18/JACK TRUMAN,Hero,42,4,16,64,0.65625
AGENT AXIS/,Hero,46,4,23,92,0.5
AGENT-X/,Hero,21,2,18,36,0.583333333
AGGAMON,Villain,4,2,3,6,0.666666667
AGINAR,Hero,60,3,45,135,0.444444444
AGON,Hero,11,1,11,11,1
AGONY/,Villain,21,1,21,21,1
"AGUIRRE, ISOBEL",Hero,40,3,22,66,0.606060606
AHAB/RORY CAMPBELL,Villain,249,12,114,1368,0.182017544
AHQLAU,Hero,74,5,21,105,0.704761905
AHURA,Hero,131,7,55,385,0.34025974
AI-CHIA,Hero,6,2,3,6,1
AINET,Hero,24,2,15,30,0.8
AIR WALKER/ARLO SAMU,Hero,3,1,3,3,1
AIR-WALKER/GABRIEL L,Villain,78,12,20,240,0.325
AIRBORNE/,Hero,55,2,47,94,0.585106383
AIREO/AEOLUS [INHUMA,Hero,255,16,73,1168,0.218321918
AJAK/TECUMOTZIN [ETE,Hero,327,14,197,2758,0.118564177
AJAX,Villain,241,20,69,1380,0.174637681
AJAX II,Villain,22,3,13,39,0.564102564
AJES'HA,Hero,16,1,16,16,1
AKAFE,Hero,24,2,16,32,0.75
AKULIA,Hero,11,3,6,18,0.611111111
"AKUTAGAWA, OSAMU",Hero,9,1,9,9,1
AL-KHALAD,Hero,11,2,6,12,0.916666667
ALANYA,Hero,14,1,14,14,1
ALBERIK,Hero,21,1,21,21,1
ALBERT,Hero,161,17,57,969,0.166150671
ALBINO/DR. AUGUSTA S,Hero,14,1,14,14,1
"ALBUQUERQUE, JEREMIA",Hero,7,1,7,7,1
ALCHEMY/THOMAS JONES,Hero,66,4,39,156,0.423076923
"ALDEN, PROF. MEREDIT",Hero,55,4,41,164,0.335365854
"ALEGRIA, RICHIE",Hero,53,4,26,104,0.509615385
"ALEXANDER, CALEB",Hero,141,12,54,648,0.217592593
"ALEXANDER, CARRIE",Hero,286,24,98,2352,0.121598639
ALFY,Hero,76,3,54,162,0.469135802
ALIOTH,Villain,8,1,8,8,1
ALIST,Hero,12,1,12,12,1
ALISTRO,Hero,18,1,18,18,1
"ALLEN, TERRY",Hero,12,1,12,12,1
"ALOUETTE, GENARD",Hero,46,2,31,62,0.741935484
ALPHA,Villain,22,2,15,30,0.733333333
"ALRAUNE, MARLENE",Hero,444,82,93,7626,0.058221873
"ALVAREZ, CARLY",Hero,37,3,20,60,0.616666667
"ALVAREZ, FELIX",Hero,212,19,60,1140,0.185964912
"ALVAREZ, PAUL",Hero,75,6,39,234,0.320512821
AMAZO-MAXI-WOMAN/,Hero,7,1,7,7,1
AMAZON,Hero,22,1,22,22,1
AMENHOTEP,Hero,31,2,16,32,0.96875
AMERICAN EAGLE II/JA,Hero,19,1,19,19,1
AMERICAN EAGLE III/J,Hero,181,5,121,605,0.299173554
AMERICAN SAMURAI/,Hero,20,3,8,24,0.833333333
AMERICOP/,Villain,18,3,8,24,0.75
AMIKO,Hero,66,9,30,270,0.244444444
AMINEDI,Hero,28,3,10,30,0.933333333
AMPERE/,Hero,5,1,5,5,1
AMPHARON,Hero,15,1,15,15,1
AMPHIBIAN/KINGLEY RI,Hero,215,13,56,728,0.29532967
AMPHIBIUS,Villain,295,18,96,1728,0.170717593
ANACONDA/BLANCHE SIT,Villain,598,33,176,5808,0.102961433
ANAIS,Hero,27,4,9,36,0.75
ANAK,Hero,214,13,50,650,0.329230769
ANALYZER,Hero,390,35,129,4515,0.086378738
"ANAMI, HIROSHI",Hero,17,1,17,17,1
ANANASTASIA/ANNA,Hero,12,3,4,12,1
ANARCHIST/TIKE ALICA,Hero,25,2,21,42,0.595238095
ANCESTOR/,Hero,59,4,21,84,0.702380952
ANCIENT ONE,Hero,351,74,84,6216,0.056467181
ANCIENT ONE/BARON MO,Hero,28,1,28,28,1
"ANDERS, JOSHUA RICHI",Hero,34,3,19,57,0.596491228
"ANDERSON, BAXTER",Hero,6,1,6,6,1
"ANDERSON, CHARLES",Hero,21,3,17,51,0.411764706
"ANDERSON, CHET",Hero,16,1,16,16,1
"ANDERSON, CHIEF MAGI",Hero,91,4,47,188,0.484042553
"ANDERSON, GINA",Hero,22,2,16,32,0.6875
"ANDERSON, MARJORIE",Hero,16,1,16,16,1
"ANDERSON, NICKY",Hero,16,1,16,16,1
"ANDERSSEN, TANYA",Hero,113,7,64,448,0.252232143
"ANDREWS, DARYL TROOP",Hero,79,7,32,224,0.352678571
ANDROMEDA/ANDROMEDA,Hero,333,27,126,3402,0.097883598
ANDROS,Hero,61,4,26,104,0.586538462
ANDWELLA,Hero,23,2,16,32,0.71875
ANELLE,Hero,56,5,29,145,0.386206897
ANGAR THE SCREAMER/D,Hero,251,23,140,3220,0.077950311
ANGEL 2013,Hero,10,1,10,10,1
ANGEL DOPPELGANGER,Villain,62,1,62,62,1
ANGEL II/THOMAS HALL,Hero,5,2,4,8,0.625
ANGEL III/HALLOWAY,Hero,19,2,18,36,0.527777778
ANGEL IV,Hero,47,4,25,100,0.47
ANGEL/WARREN KENNETH,Hero,7669,444,1134,503496,0.015231501
"ANGELOPOULOS, ANGEL",Hero,7,1,7,7,1
ANGKOR,Villain,14,2,8,16,0.875
ANGLER,Hero,81,5,56,280,0.289285714
"ANGSTROM, EARL",Hero,15,2,10,20,0.75
ANIELLE,Hero,6,1,6,6,1
ANIMATOR II/,Villain,11,1,11,11,1
ANIMATOR/DR. FREDRIC,Villain,43,3,25,75,0.573333333
ANIMUS,Hero,4,1,4,4,1
ANNALEE,Villain,102,5,49,245,0.416326531
ANNIHILUS,Villain,407,37,125,4625,0.088
ANOMALY,Hero,21,1,21,21,1
ANOMALY III,Hero,13,1,13,13,1
"ANON, LORD",Hero,28,1,28,28,1
ANSWER,Villain,72,6,24,144,0.5
ANSWER II/DAVID FERR,Villain,13,2,9,18,0.722222222
ANT-MAN II/SCOTT HAR,Hero,1514,108,420,45360,0.033377425
ANT-MAN/DR. HENRY J.,Hero,8032,561,1117,626637,0.012817628
ANTEUS,Hero,67,4,37,148,0.452702703
ANTHROMORPHO,Hero,73,3,61,183,0.398907104
ANTI-PHOENIX,Hero,31,2,18,36,0.861111111
ANTI-VISION,Hero,18,2,9,18,1
ANTIBODY,Hero,10,1,10,10,1
ANTIQUARY/,Hero,3,1,3,3,1
"ANTOINETTE, MARIE",Hero,21,3,19,57,0.368421053
ANTORO,Hero,19,1,19,19,1
ANTRO,Hero,83,4,46,184,0.451086957
"ANUBAR, ANWAR",Hero,27,2,21,42,0.642857143
ANUBIA,Hero,14,1,14,14,1
ANVIL/JOHNNY ANVIL,Hero,18,4,11,44,0.409090909
APE MAN II/ROY MCVEY,Villain,21,2,13,26,0.807692308
APE MAN/GORDON MONK,Villain,157,12,70,840,0.186904762
APE-X/XINA,Hero,113,7,24,168,0.672619048
APE/,Villain,183,9,61,549,0.333333333
APOCALYPSE | MUTANT,Villain,63,5,22,110,0.572727273
APOCALYPSE/EN SABAH,Villain,1310,84,282,23688,0.055302263
APOCRYPHUS,Hero,67,3,36,108,0.62037037
APOLLO [GREEK GOD],Hero,138,8,69,552,0.25
APOSTATE,Hero,29,3,15,45,0.644444444
APPALLA,Hero,8,2,7,14,0.571428571
"APPLEBAUM, PHANTASY",Hero,13,1,13,13,1
AQUARIAN/WUNDARR,Hero,196,21,102,2142,0.091503268
AQUARIUS II/,Villain,41,3,23,69,0.594202899
AQUARIUS III/,Villain,26,1,26,26,1
AQUARIUS/DARREN BENT,Villain,127,9,42,378,0.335978836
ARABIAN KNIGHT/ABDUL,Hero,361,15,170,2550,0.141568627
ARACHNE,Hero,83,4,46,184,0.451086957
ARAGORN,Hero,382,32,128,4096,0.093261719
ARAKI II,Hero,75,3,46,138,0.543478261
ARAKI [SHI'AR],Hero,192,9,78,702,0.273504274
"ARBOGAST, BAMBI",Hero,734,87,201,17487,0.041974038
ARCADE/,Villain,302,28,129,3612,0.083610188
ARCADIUS,Hero,181,8,53,424,0.426886792
ARCANNA/ARCANNA JONE,Hero,572,32,153,4896,0.116830065
ARCHAEOPTERYX/TONAJA,Hero,160,10,32,320,0.5
"ARCHER, ULYSSES SAMS",Hero,128,21,17,357,0.358543417
ARCHER/JUDE BLACK,Hero,64,7,26,182,0.351648352
ARCLIGHT/PHILLIPA SO,Villain,434,19,140,2660,0.163157895
ARCTURUS,Hero,13,2,9,18,0.722222222
ARES [GREEK GOD],Villain,386,29,121,3509,0.11000285
AREX,Hero,42,2,35,70,0.6
ARGOS,Hero,54,3,26,78,0.692307692
"ARGOSY, HERVE",Hero,4,1,4,4,1
ARIA,Hero,56,5,28,140,0.4
ARIANE,Hero,12,2,6,12,1
ARIDES,Hero,67,5,25,125,0.536
ARIEL II,Hero,96,8,37,296,0.324324324
ARIES II/GROVER RAYM,Hero,153,9,67,603,0.253731343
ARIES III/,Hero,26,1,26,26,1
ARIES/MARCUS LASSITE,Hero,39,2,35,70,0.557142857
ARISHEM [CELESTIAL],Hero,364,22,175,3850,0.094545455
ARIZE,Hero,71,3,54,162,0.438271605
"ARKANIAN, GLIB",Hero,32,3,21,63,0.507936508
ARKO,Hero,64,5,28,140,0.457142857
ARKON,Hero,226,16,102,1632,0.138480392
"ARLINGTON, DR. MARCU",Hero,24,3,14,42,0.571428571
ARLISSE,Hero,17,1,17,17,1
ARMADA,Hero,10,1,10,10,1
ARMADA II/,Hero,23,3,15,45,0.511111111
ARMADILLO/ANTONIO RO,Hero,101,7,78,546,0.184981685
ARMAGEDDON,Hero,20,2,13,26,0.769230769
ARMAGEDDON MAN,Hero,34,2,18,36,0.944444444
ARMAND,Hero,17,2,10,20,0.85
ARMAROS,Hero,8,1,8,8,1
ARMAZIEL,Hero,10,1,10,10,1
"ARMBRUSTER, COLONEL",Hero,87,14,29,406,0.214285714
ARMS MERCHANT/ANDREA,Hero,21,2,20,40,0.525
"ARMSTRONG, ?",Hero,12,1,12,12,1
"ARMSTRONG, MYRA",Hero,30,2,21,42,0.714285714
ARNSTROM,Hero,50,3,22,66,0.757575758
ARON [WATCHER],Hero,331,24,121,2904,0.113980716
ARRANGER/,Hero,503,42,112,4704,0.106930272
ARROW,Hero,8,1,8,8,1
ARSENAL,Hero,45,3,30,90,0.5
ARSENAL II,Hero,20,3,9,27,0.740740741
ARSENIC,Hero,54,2,39,78,0.692307692
ARTEMIS,Hero,64,4,24,96,0.666666667
ARVAK,Hero,9,1,9,9,1
ARYAN,Villain,22,1,22,22,1
ASANO,Hero,16,3,9,27,0.592592593
"ASBERY, SHAMARI",Hero,27,2,19,38,0.710526316
ASBESTOS LADY,Hero,13,1,13,13,1
"ASH, BRANDY",Hero,76,11,13,143,0.531468531
ASHEMA [CELESTIAL],Hero,131,8,59,472,0.277542373
"ASHER, CARL",Hero,8,1,8,8,1
"ASHER, DONNA",Hero,8,1,8,8,1
"ASHER, MICHAEL",Hero,15,2,9,18,0.833333333
ASHUR,Hero,12,1,12,12,1
ASKANI,Hero,60,3,31,93,0.64516129
ASMODEUS,Hero,28,5,14,70,0.4
ASP II/CLEO,Hero,550,31,162,5022,0.10951812
ASSAULT/,Hero,40,3,14,42,0.952380952
ASTARTE,Hero,12,1,12,12,1
"ASTER, LUCIAN",Hero,53,4,29,116,0.456896552
ASTRA,Hero,204,7,97,679,0.300441826
ASTRA II,Hero,94,5,35,175,0.537142857
ASTROLOGER/,Hero,10,3,4,12,0.833333333
ASTRONOMER,Hero,83,6,31,186,0.446236559
"ASTROVIK, ARNOLD",Hero,56,4,36,144,0.388888889
"ASTROVIK, NORMA",Hero,138,13,62,806,0.171215881
ASYLUM II/HENRIQUE M,Hero,50,3,25,75,0.666666667
ASYLUM/,Hero,54,3,27,81,0.666666667
ATALANTA,Hero,297,22,84,1848,0.160714286
ATALON,Hero,51,4,16,64,0.796875
ATHENA [GREEK GOD],Hero,152,8,69,552,0.275362319
"ATKINSON, MAJ. EDMON",Hero,28,3,18,54,0.518518519
ATLAS,Hero,157,11,75,825,0.19030303
ATLAS III,Hero,11,1,11,11,1
ATOM SMASHER II/,Hero,14,2,10,20,0.7
ATOM SMASHER/,Hero,11,1,11,11,1
ATOM-SMASHER/,Hero,14,3,9,27,0.518518519
"ATOR, GENERAL",Hero,135,6,51,306,0.441176471
ATTRACTIVE LAD/AUNDR,Hero,28,1,28,28,1
ATTUMA,Villain,592,48,217,10416,0.056835637
AUGUST PERSONAGE IN,Hero,117,15,43,645,0.181395349
AUNTIE FREEZE/,Hero,14,2,10,20,0.7
AURA/ANN HERD,Hero,78,6,46,276,0.282608696
AURIC/,Hero,219,12,66,792,0.276515152
AURORA DOPPELGANGER,Villain,48,1,48,48,1
AURORA | MUTANT X-VE,Hero,16,1,16,16,1
AURORA/JEANNE-MARIE,Hero,1923,107,407,43549,0.044157156
"AUSTIN, GEN.",Hero,24,2,17,34,0.705882353
"AUSTIN, SUSAN",Hero,547,39,124,4836,0.113110008
"AUSTIN, TERRY",Hero,42,2,32,64,0.65625
"AUTHIER, POLICE CHIE",Hero,122,7,40,280,0.435714286
"AUTHIER, TRACY TRACE",Hero,145,8,34,272,0.533088235
AUTHORITY/,Hero,33,5,22,110,0.3
AUTOLYCUS,Hero,26,3,11,33,0.787878788
AVALANCHE/DOMINIC PE,Villain,921,52,285,14820,0.062145749
AVANDALIA,Villain,41,4,14,56,0.732142857
AVATAR,Hero,23,2,15,30,0.766666667
AVATAR II/PRINCESS A,Hero,7,2,5,10,0.7
AVIA,Hero,198,13,53,689,0.287373004
AVIOS,Hero,93,2,80,160,0.58125
AVIUS,Hero,50,4,28,112,0.446428571
"AVRIL, SALLY",Hero,159,16,35,560,0.283928571
"AVRIL, YVETTE",Hero,8,1,8,8,1
AWESOME ANDROID,Villain,51,3,34,102,0.5
AXE/,Hero,71,3,66,198,0.358585859
AXIS/,Hero,16,1,16,16,1
"AYALA, AWILDA",Hero,84,9,18,162,0.518518519
"AYALA, FILIPPO",Hero,37,4,16,64,0.578125
"AYALA, MRS.",Hero,47,5,18,90,0.522222222
"AYALA, NESTOR",Hero,14,1,14,14,1
AYESHA,Villain,23,2,15,30,0.766666667
AZAZEL,Villain,18,1,18,18,1
AZAZEL II,Villain,8,1,8,8,1
AZIR,Hero,36,5,17,85,0.423529412
AZOPARDI,Hero,3,1,3,3,1
AZOR,Hero,6,1,6,6,1
AZRAEL,Hero,2,1,2,2,1
AZURE,Hero,9,1,9,9,1
B'ARR,Hero,30,2,22,44,0.681818182
B'GON,Hero,4,1,4,4,1
"B'KOSA, GEN. JONATHA",Hero,20,3,9,27,0.740740741
BAAL,Hero,12,2,6,12,1
BAAL II,Hero,7,1,7,7,1
BACILLUS,Hero,33,5,7,35,0.942857143
"BADALAMENTE, JESUS",Hero,111,13,56,728,0.152472527
"BADALINO, LT. MICHAE",Hero,46,5,20,100,0.46
"BAILEY, GAILYN",Hero,22,2,18,36,0.611111111
"BAILEY, JOEY",Hero,22,2,18,36,0.611111111
"BAILEY, SARA GREY",Hero,81,6,48,288,0.28125
"BAIRD, DR.",Hero,14,1,14,14,1
BAKER,Hero,22,2,12,24,0.916666667
"BAKER, ANNE-MARIE",Hero,65,6,42,252,0.257936508
BALABAN/,Hero,13,1,13,13,1
BALDER [ASGARDIAN],Hero,2949,255,360,91800,0.032124183
"BALDWIN, JUSTIN",Hero,171,21,80,1680,0.101785714
"BALDWIN, MADELYNE MA",Hero,346,32,152,4864,0.071134868
"BALE, EMERSON",Hero,83,7,42,294,0.282312925
"BALLANTINE, DEVON",Hero,31,2,25,50,0.62
"BALLANTINE, KAYLA",Hero,573,36,226,8136,0.070427729
"BALLANTINE, MR.",Hero,21,1,21,21,1
"BALLANTINE, MRS.",Hero,21,1,21,21,1
BALOR,Hero,43,3,24,72,0.597222222
BAMBI,Hero,209,16,72,1152,0.181423611
"BANCROFT, MARTINE",Hero,71,15,39,585,0.121367521
BANDIT/,Hero,55,4,27,108,0.509259259
"BANK, IRVING",Hero,5,1,5,5,1
"BANKS, SHARON",Hero,77,5,40,200,0.385
"BANNER, BETTY ROSS T",Hero,2183,253,352,89056,0.024512666
"BANNERJEE, DR.",Hero,11,1,11,11,1
"BANNON, LANCE",Hero,516,45,142,6390,0.080751174
BANSHEE 2013,Hero,21,1,21,21,1
BANSHEE II,Hero,89,8,43,344,0.25872093
BANSHEE/SEAN CASSIDY,Hero,3271,223,532,118636,0.027571732
BANTAM/,Hero,81,9,35,315,0.257142857
"BANTOCK, LT. OLIVER",Hero,17,1,17,17,1
"BAPTISTE, TANTE MATT",Hero,6,1,6,6,1
BARAK,Hero,59,4,22,88,0.670454545
"BARBAROSSA, MARIO",Hero,19,2,10,20,0.95
"BARBAROSSA, VINNIE",Hero,49,5,28,140,0.35
BARBARUS,Villain,221,13,81,1053,0.209876543
BARIUM,Hero,54,2,39,78,0.692307692
BARKER,Hero,19,3,12,36,0.527777778
"BARKER, MATTHEW T.",Hero,9,1,9,9,1
BARNACLE/,Hero,82,3,46,138,0.594202899
"BARNETT, MIKE",Hero,18,2,15,30,0.6
BARON BLOOD II/VICTO,Villain,128,14,39,546,0.234432234
BARON BLOOD/JOHN FAL,Villain,135,12,72,864,0.15625
BARON BRIMSTONE/,Hero,42,4,34,136,0.308823529
BARON MACABRE/,Hero,20,4,8,32,0.625
BARON MORDO/KARL MOR,Villain,350,54,91,4914,0.071225071
BARON SAMEDI,Hero,3,1,3,3,1
BARON STRUCKER/WOLFG,Villain,512,49,214,10486,0.048827007
BARON ZEBEK,Hero,32,2,18,36,0.888888889
BARONESS ZEMO/HEIKE,Villain,49,4,30,120,0.408333333
BARRACUDA/,Villain,33,2,20,40,0.825
BARRAGE,Hero,82,5,36,180,0.455555556
"BARRANCO, MARIA ESME",Hero,12,1,12,12,1
"BARRENOS, OMAR",Hero,55,3,30,90,0.611111111
BARRIER/,Hero,8,1,8,8,1
BARRINGTON,Hero,15,1,15,15,1
"BARRON, RICK",Hero,17,2,10,20,0.85
"BARROWS, WALTER",Hero,9,1,9,9,1
