hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
24-HOUR MAN/EMMANUEL,Hero,1,1,1,1,1.0
3-D MAN/CHARLES CHAN,Hero,22,9,12,108,0.2037037037037037
4-D MAN/MERCURIO,Villain,28,9,12,108,0.25925925925925924
8-BALL/,Hero,3,3,1,3,1.0
A,Hero,7,3,3,9,0.7777777777777778
A'YIN,Hero,8,4,2,8,1.0
"ABBOTT, JACK",Hero,4,1,4,4,1.0
ABCISSA,Hero,8,2,4,8,1.0
ABEL,Hero,2,2,1,2,1.0
ABOMINATION | MUTANT,Villain,10,1,10,10,1.0
ABOMINATION/EMIL BLO,Villain,97,45,39,1755,0.05527065527065527
ABOMINATRIX,Villain,6,3,2,6,1.0
ABRAXAS,Villain,4,4,1,4,1.0
ABSALOM,Villain,15,4,10,40,0.375
ABSORBING MAN | MUTA,Villain,10,1,10,10,1.0
ABSORBING MAN/CARL C,Villain,347,71,77,5467,0.06347173952807755
ACBA,Hero,7,1,7,7,1.0
"ACHEBE, REVEREND DOC",Hero,30,12,8,96,0.3125
ACHILLES,Hero,2,1,2,2,1.0
ACHILLES II/HELMUT,Hero,40,15,16,240,0.16666666666666666
ACROBAT/CARL ZANTE,Villain,3,3,1,3,1.0
"ADAM 3,031",Hero,4,4,1,4,1.0
ADAM X,Hero,9,4,6,24,0.375
"ADAMS, CINDY",Hero,14,10,5,50,0.28
"ADAMS, CONGRESSMAN H",Hero,3,1,3,3,1.0
"ADAMS, GEORGE",Hero,3,2,2,4,0.75
"ADAMS, MARTHA",Hero,3,2,2,4,0.75
"ADAMS, NICOLE NIKKI",Hero,49,21,11,231,0.21212121212121213
"ADAMSON, JASON",Hero,3,3,1,3,1.0
"ADAMSON, REBECCA",Hero,3,3,1,3,1.0
ADMIRAL PROTOCOL/,Hero,9,8,2,16,0.5625
ADORA,Hero,22,11,8,88,0.25
ADORA CLONE,Hero,3,2,2,4,0.75
ADRIA,Hero,6,4,3,12,0.5
ADVA,Hero,30,8,7,56,0.5357142857142857
ADVENT/KYLE GROBE,Hero,3,3,1,3,1.0
ADVERSARY,Villain,71,13,17,221,0.3212669683257919
AEGIS/TREY ROLLINS,Hero,21,11,9,99,0.21212121212121213
AENTAROS,Hero,7,6,2,12,0.5833333333333334
AFTERLIFE,Hero,3,2,2,4,0.75
AGAMEMNON,Hero,2,1,2,2,1.0
AGAMEMNON II/ANDREI,Hero,2,1,2,2,1.0
AGAMEMNON III/,Hero,37,15,11,165,0.22424242424242424
AGAMOTTO,Hero,32,12,11,132,0.24242424242424243
"AGARN, CAPT.",Hero,1,1,1,1,1.0
AGED GENGHIS,Hero,22,8,8,64,0.34375
"AGEE, DR. AUBREY",Hero,13,5,6,30,0.43333333333333335
"AGEE, REBECCA",Hero,4,2,3,6,0.6666666666666666
AGENT 18/JACK TRUMAN,Hero,6,4,3,12,0.5
AGENT AXIS/,Hero,6,4,3,12,0.5
AGENT-X/,Hero,6,2,5,10,0.6
AGGAMON,Villain,2,2,1,2,1.0
AGINAR,Hero,7,3,5,15,0.4666666666666667
AGON,Hero,5,1,5,5,1.0
AGONY/,Villain,4,1,4,4,1.0
"AGUIRRE, ISOBEL",Hero,7,3,4,12,0.5833333333333334
AHAB/RORY CAMPBELL,Villain,50,12,25,300,0.16666666666666666
AHQLAU,Hero,5,5,1,5,1.0
AHURA,Hero,34,7,9,63,0.5396825396825397
AI-CHIA,Hero,2,2,1,2,1.0
AINET,Hero,10,2,5,10,1.0
AIR WALKER/ARLO SAMU,Hero,1,1,1,1,1.0
AIR-WALKER/GABRIEL L,Villain,43,12,8,96,0.4479166666666667
AIRBORNE/,Hero,13,2,12,24,0.5416666666666666
AIREO/AEOLUS [INHUMA,Hero,71,16,12,192,0.3697916666666667
AJAK/TECUMOTZIN [ETE,Hero,38,14,23,322,0.11801242236024845
AJAX,Villain,31,20,12,240,0.12916666666666668
AJAX II,Villain,7,3,3,9,0.7777777777777778
AJES'HA,Hero,5,1,5,5,1.0
AKAFE,Hero,6,2,4,8,0.75
AKULIA,Hero,3,3,1,3,1.0
"AKUTAGAWA, OSAMU",Hero,2,1,2,2,1.0
AL-KHALAD,Hero,4,2,2,4,1.0
ALANYA,Hero,2,1,2,2,1.0
ALBERIK,Hero,3,1,3,3,1.0
ALBERT,Hero,42,17,9,153,0.27450980392156865
ALBINO/DR. AUGUSTA S,Hero,5,1,5,5,1.0
"ALBUQUERQUE, JEREMIA",Hero,1,1,1,1,1.0
ALCHEMY/THOMAS JONES,Hero,12,4,8,32,0.375
"ALDEN, PROF. MEREDIT",Hero,9,4,6,24,0.375
"ALEGRIA, RICHIE",Hero,9,4,4,16,0.5625
"ALEXANDER, CALEB",Hero,22,12,7,84,0.2619047619047619
"ALEXANDER, CARRIE",Hero,46,24,12,288,0.1597222222222222
ALFY,Hero,16,3,9,27,0.5925925925925926
ALIOTH,Villain,2,1,2,2,1.0
ALIST,Hero,1,1,1,1,1.0
ALISTRO,Hero,4,1,4,4,1.0
"ALLEN, TERRY",Hero,2,1,2,2,1.0
"ALOUETTE, GENARD",Hero,9,2,7,14,0.6428571428571429
ALPHA,Villain,3,2,2,4,0.75
"ALRAUNE, MARLENE",Hero,104,82,17,1394,0.0746054519368723
"ALVAREZ, CARLY",Hero,9,3,6,18,0.5
"ALVAREZ, FELIX",Hero,49,19,14,266,0.18421052631578946
"ALVAREZ, PAUL",Hero,8,6,3,18,0.4444444444444444
AMAZO-MAXI-WOMAN/,Hero,1,1,1,1,1.0
AMAZON,Hero,6,1,6,6,1.0
AMENHOTEP,Hero,10,2,5,10,1.0
AMERICAN EAGLE II/JA,Hero,3,1,3,3,1.0
AMERICAN EAGLE III/J,Hero,18,5,12,60,0.3
AMERICAN SAMURAI/,Hero,8,3,3,9,0.8888888888888888
AMERICOP/,Villain,7,3,3,9,0.7777777777777778
AMIKO,Hero,16,9,3,27,0.5925925925925926
AMINEDI,Hero,12,3,4,12,1.0
AMPERE/,Hero,1,1,1,1,1.0
AMPHARON,Hero,4,1,4,4,1.0
AMPHIBIAN/KINGLEY RI,Hero,45,13,8,104,0.4326923076923077
AMPHIBIUS,Villain,103,18,27,486,0.21193415637860083
ANACONDA/BLANCHE SIT,Villain,323,33,63,2079,0.15536315536315537
ANAIS,Hero,10,4,4,16,0.625
ANAK,Hero,28,13,6,78,0.358974358974359
ANALYZER,Hero,99,35,23,805,0.12298136645962733
"ANAMI, HIROSHI",Hero,1,1,1,1,1.0
ANANASTASIA/ANNA,Hero,6,3,2,6,1.0
ANARCHIST/TIKE ALICA,Hero,5,2,3,6,0.8333333333333334
ANCESTOR/,Hero,10,4,3,12,0.8333333333333334
ANCIENT ONE,Hero,142,74,17,1258,0.11287758346581876
ANCIENT ONE/BARON MO,Hero,10,1,10,10,1.0
"ANDERS, JOSHUA RICHI",Hero,4,3,2,6,0.6666666666666666
"ANDERSON, BAXTER",Hero,2,1,2,2,1.0
"ANDERSON, CHARLES",Hero,10,3,7,21,0.47619047619047616
"ANDERSON, CHET",Hero,1,1,1,1,1.0
"ANDERSON, CHIEF MAGI",Hero,20,4,11,44,0.45454545454545453
"ANDERSON, GINA",Hero,2,2,1,2,1.0
"ANDERSON, MARJORIE",Hero,1,1,1,1,1.0
"ANDERSON, NICKY",Hero,1,1,1,1,1.0
"ANDERSSEN, TANYA",Hero,46,7,22,154,0.2987012987012987
"ANDREWS, DARYL TROOP",Hero,16,7,6,42,0.38095238095238093
ANDROMEDA/ANDROMEDA,Hero,60,27,23,621,0.0966183574879227
ANDROS,Hero,12,4,5,20,0.6
ANDWELLA,Hero,3,2,2,4,0.75
ANELLE,Hero,8,5,4,20,0.4
ANGAR THE SCREAMER/D,Hero,100,23,52,1196,0.08361204013377926
ANGEL 2013,Hero,1,1,1,1,1.0
ANGEL DOPPELGANGER,Villain,13,1,13,13,1.0
ANGEL II/THOMAS HALL,Hero,3,2,2,4,0.75
ANGEL III/HALLOWAY,Hero,6,2,5,10,0.6
ANGEL IV,Hero,12,4,6,24,0.5
ANGEL/WARREN KENNETH,Hero,1587,444,266,118104,0.013437309489941068
"ANGELOPOULOS, ANGEL",Hero,1,1,1,1,1.0
ANGKOR,Villain,2,2,1,2,1.0
ANGLER,Hero,13,5,7,35,0.37142857142857144
"ANGSTROM, EARL",Hero,6,2,3,6,1.0
ANIELLE,Hero,1,1,1,1,1.0
ANIMATOR II/,Villain,1,1,1,1,1.0
ANIMATOR/DR. FREDRIC,Villain,14,3,10,30,0.4666666666666667
ANIMUS,Hero,1,1,1,1,1.0
ANNALEE,Villain,36,5,16,80,0.45
ANNIHILUS,Villain,89,37,27,999,0.0890890890890891
ANOMALY,Hero,4,1,4,4,1.0
ANOMALY III,Hero,1,1,1,1,1.0
"ANON, LORD",Hero,12,1,12,12,1.0
ANSWER,Villain,26,6,9,54,0.48148148148148145
ANSWER II/DAVID FERR,Villain,5,2,4,8,0.625
ANT-MAN II/SCOTT HAR,Hero,347,108,99,10692,0.03245417134306023
ANT-MAN/DR. HENRY J.,Hero,1607,561,262,146982,0.010933311561959968
ANTEUS,Hero,18,4,11,44,0.4090909090909091
ANTHROMORPHO,Hero,8,3,6,18,0.4444444444444444
ANTI-PHOENIX,Hero,2,2,1,2,1.0
ANTI-VISION,Hero,4,2,2,4,1.0
ANTIBODY,Hero,1,1,1,1,1.0
ANTIQUARY/,Hero,1,1,1,1,1.0
"ANTOINETTE, MARIE",Hero,4,3,2,6,0.6666666666666666
ANTORO,Hero,7,1,7,7,1.0
ANTRO,Hero,13,4,10,40,0.325
"ANUBAR, ANWAR",Hero,5,2,3,6,0.8333333333333334
ANUBIA,Hero,3,1,3,3,1.0
ANVIL/JOHNNY ANVIL,Hero,4,4,1,4,1.0
APE MAN II/ROY MCVEY,Villain,5,2,3,6,0.8333333333333334
APE MAN/GORDON MONK,Villain,28,12,11,132,0.21212121212121213
