hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
24-HOUR MAN/EMMANUEL,Hero,174,22,36,792,0.21969697
3-D MAN/CHARLES CHAN,Hero,82315,9742,5534,53912228,0.001526834
4-D MAN/MERCURIO,Villain,48518,4612,3822,17627064,0.002752472
8-BALL/,Hero,287,25,139,3475,0.082589928
A,Hero,15106,1154,1616,1864864,0.008100323
A'YIN,Hero,16179,1237,1642,2031154,0.007965423
"ABBOTT, JACK",Hero,19694,2167,2108,4568036,0.004311262
ABCISSA,Hero,32812,2882,3040,8761280,0.003745115
ABEL,Hero,6561,438,859,376242,0.017438245
ABOMINATION | MUTANT,Villain,4695,261,785,204885,0.022915294
ABOMINATION/EMIL BLO,Villain,84838,9664,5713,55210432,0.00153663
ABOMINATRIX,Villain,15543,1202,1833,2203266,0.007054527
ABRAXAS,Villain,29815,2711,2816,7634176,0.003905464
ABSALOM,Villain,16549,1181,1922,2269882,0.007290687
ABSORBING MAN | MUTA,Villain,4695,261,785,204885,0.022915294
ABSORBING MAN/CARL C,Villain,83688,9444,5561,52518084,0.001593508
ACBA,Hero,17110,1464,2002,2930928,0.005837741
"ACHEBE, REVEREND DOC",Hero,38014,3662,3283,12022346,0.003161945
ACHILLES,Hero,200,13,84,1092,0.183150183
ACHILLES II/HELMUT,Hero,31402,3109,2963,9211967,0.003408827
ACROBAT/CARL ZANTE,Villain,26689,2355,2586,6090030,0.004382409
"ADAM 3,031",Hero,9248,616,1199,738584,0.012521257
ADAM X,Hero,26297,1995,2479,4945605,0.005317246
"ADAMS, CINDY",Hero,50013,4756,3941,18743396,0.0026683
"ADAMS, CONGRESSMAN H",Hero,16247,1687,1867,3149629,0.005158385
"ADAMS, GEORGE",Hero,4648,446,832,371072,0.012525871
"ADAMS, MARTHA",Hero,4648,446,832,371072,0.012525871
"ADAMS, NICOLE NIKKI",Hero,58048,6089,4186,25488554,0.002277414
"ADAMSON, JASON",Hero,25,6,10,60,0.416666667
"ADAMSON, REBECCA",Hero,25,6,10,60,0.416666667
ADMIRAL PROTOCOL/,Hero,9152,672,1449,973728,0.009398929
ADORA,Hero,49779,5170,3906,20194020,0.002465037
ADORA CLONE,Hero,6116,387,1072,414864,0.014742181
ADRIA,Hero,7120,704,1178,829312,0.00858543
ADVA,Hero,44666,4537,3455,15675335,0.002849445
ADVENT/KYLE GROBE,Hero,7519,560,1227,687120,0.010942776
ADVERSARY,Villain,26582,2195,2645,5805775,0.004578545
AEGIS/TREY ROLLINS,Hero,47015,4389,3813,16735257,0.002809338
AENTAROS,Hero,16337,1118,1937,2165566,0.007543986
AFTERLIFE,Hero,6557,663,1115,739245,0.00886986
AGAMEMNON,Hero,200,13,84,1092,0.183150183
AGAMEMNON II/ANDREI,Hero,15990,1335,1825,2436375,0.006563029
AGAMEMNON III/,Hero,43347,4461,3525,15725025,0.002756562
AGAMOTTO,Hero,31963,3612,3020,10908240,0.00293017
"AGARN, CAPT.",Hero,186,18,79,1422,0.130801688
AGED GENGHIS,Hero,11600,1121,1647,1846287,0.00628288
"AGEE, DR. AUBREY",Hero,27642,2188,2618,5728184,0.004825613
"AGEE, REBECCA",Hero,23371,1828,2332,4262896,0.005482423
AGENT 18/JACK TRUMAN,Hero,14509,1366,2008,2742928,0.005289603
