,hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
0,24-HOUR MAN/EMMANUEL,Hero,1,1,1,1,1.0
1,3-D MAN/CHARLES CHAN,Hero,2131,705,306,215730,0.009878088351179716
2,4-D MAN/MERCURIO,Villain,2177,857,258,221106,0.0098459562381844
3,8-BALL/,Hero,3,3,1,3,1.0
4,A,Hero,275,90,61,5490,0.05009107468123861
5,A'YIN,Hero,199,46,40,1840,0.10815217391304348
6,"ABBOTT, JACK",Hero,842,293,146,42778,0.019683014633690214
7,ABCISSA,Hero,592,150,87,13050,0.045363984674329505
8,ABEL,Hero,2,2,1,2,1.0
9,ABOMINATION | MUTANT,Villain,87,30,28,840,0.10357142857142858
10,ABOMINATION/EMIL BLO,Villain,6077,2164,501,1084164,0.00560524053556473
11,ABOMINATRIX,Villain,6,3,2,6,1.0
12,ABRAXAS,Villain,4,4,1,4,1.0
13,ABSALOM,Villain,884,300,144,43200,0.020462962962962964
14,ABSORBING MAN | MUTA,Villain,87,30,28,840,0.10357142857142858
15,ABSORBING MAN/CARL C,Villain,9263,3488,599,2089312,0.004433516870625354
16,ACBA,Hero,659,190,103,19570,0.03367399080224834
17,"ACHEBE, REVEREND DOC",Hero,1178,354,206,72924,0.016153803960287424
18,ACHILLES,Hero,34,11,12,132,0.25757575757575757
19,ACHILLES II/HELMUT,Hero,954,330,196,64680,0.014749536178107607
20,ACROBAT/CARL ZANTE,Villain,3,3,1,3,1.0
21,"ADAM 3,031",Hero,4,4,1,4,1.0
22,ADAM X,Hero,1229,352,220,77440,0.01587035123966942
23,"ADAMS, CINDY",Hero,246,86,76,6536,0.03763769889840881
24,"ADAMS, CONGRESSMAN H",Hero,1659,612,195,119340,0.013901458019105077
25,"ADAMS, GEORGE",Hero,154,49,48,2352,0.06547619047619048
26,"ADAMS, MARTHA",Hero,154,49,48,2352,0.06547619047619048
27,"ADAMS, NICOLE NIKKI",Hero,1802,561,275,154275,0.011680440771349863
28,"ADAMSON, JASON",Hero,3,3,1,3,1.0
29,"ADAMSON, REBECCA",Hero,3,3,1,3,1.0
30,ADMIRAL PROTOCOL/,Hero,11,10,2,20,0.55
31,ADORA,Hero,670,223,136,30328,0.022091796359799524
32,ADORA CLONE,Hero,11,5,6,30,0.36666666666666664
33,ADRIA,Hero,229,104,50,5200,0.04403846153846154
34,ADVA,Hero,248,97,46,4462,0.055580457194083374
35,ADVENT/KYLE GROBE,Hero,3,3,1,3,1.0
