,hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
0,24-HOUR MAN/EMMANUEL,Hero,21,1,6,6,3.5
1,3-D MAN/CHARLES CHAN,Hero,6802,9,123,1107,6.14453477868112
2,4-D MAN/MERCURIO,Villain,1398,9,73,657,2.127853881278539
3,8-BALL/,Hero,105,3,15,45,2.3333333333333335
4,A,Hero,56,3,9,27,2.074074074074074
5,A'YIN,Hero,273,4,22,88,3.102272727272727
6,"ABBOTT, JACK",Hero,45,1,9,9,5.0
7,ABCISSA,Hero,139,2,16,32,4.34375
8,ABEL,Hero,87,2,12,24,3.625
9,ABOMINATION | MUTANT,Villain,1225,1,49,49,25.0
10,ABOMINATION/EMIL BLO,Villain,6877,45,191,8595,0.8001163467132053
11,ABOMINATRIX,Villain,38,3,7,21,1.8095238095238095
12,ABRAXAS,Villain,173,4,22,88,1.9659090909090908
13,ABSALOM,Villain,626,4,42,168,3.7261904761904763
14,ABSORBING MAN | MUTA,Villain,1225,1,49,49,25.0
15,ABSORBING MAN/CARL C,Villain,12373,71,279,19809,0.6246150739562825
16,ACBA,Hero,630,1,35,35,18.0
17,"ACHEBE, REVEREND DOC",Hero,785,12,47,564,1.3918439716312057
18,ACHILLES,Hero,21,1,6,6,3.5
19,ACHILLES II/HELMUT,Hero,896,15,60,900,0.9955555555555555
20,ACROBAT/CARL ZANTE,Villain,32,3,7,21,1.5238095238095237
21,"ADAM 3,031",Hero,166,4,16,64,2.59375
22,ADAM X,Hero,302,4,30,120,2.5166666666666666
23,"ADAMS, CINDY",Hero,1051,10,50,500,2.102
24,"ADAMS, CONGRESSMAN H",Hero,66,1,11,11,6.0
25,"ADAMS, GEORGE",Hero,39,2,8,16,2.4375
26,"ADAMS, MARTHA",Hero,39,2,8,16,2.4375
27,"ADAMS, NICOLE NIKKI",Hero,1558,21,70,1470,1.0598639455782313
28,"ADAMSON, JASON",Hero,24,3,5,15,1.6
29,"ADAMSON, REBECCA",Hero,24,3,5,15,1.6
30,ADMIRAL PROTOCOL/,Hero,803,8,46,368,2.182065217391304
31,ADORA,Hero,859,11,59,649,1.3235747303543914
32,ADORA CLONE,Hero,137,2,16,32,4.28125
33,ADRIA,Hero,70,4,11,44,1.5909090909090908
34,ADVA,Hero,606,8,39,312,1.9423076923076923
35,ADVENT/KYLE GROBE,Hero,191,3,18,54,3.537037037037037
36,ADVERSARY,Villain,1202,13,51,663,1.812971342383107
37,AEGIS/TREY ROLLINS,Hero,1064,11,67,737,1.4436906377204886
38,AENTAROS,Hero,456,6,30,180,2.533333333333333
