,hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
0,24-HOUR MAN/EMMANUEL,Hero,1,1,1,1,1.0
1,3-D MAN/CHARLES CHAN,Hero,78,9,12,108,0.7222222222222222
2,4-D MAN/MERCURIO,Villain,54,9,12,108,0.5
3,8-BALL/,Hero,3,3,1,3,1.0
4,A,Hero,10,3,3,9,1.1111111111111112
5,A'YIN,Hero,9,4,2,8,1.125
6,"ABBOTT, JACK",Hero,10,1,4,4,2.5
7,ABCISSA,Hero,14,2,4,8,1.75
8,ABEL,Hero,2,2,1,2,1.0
9,ABOMINATION | MUTANT,Villain,55,1,10,10,5.5
10,ABOMINATION/EMIL BLO,Villain,366,45,39,1755,0.20854700854700856
11,ABOMINATRIX,Villain,7,3,2,6,1.1666666666666667
12,ABRAXAS,Villain,4,4,1,4,1.0
13,ABSALOM,Villain,43,4,10,40,1.075
14,ABSORBING MAN | MUTA,Villain,55,1,10,10,5.5
15,ABSORBING MAN/CARL C,Villain,1130,71,77,5467,0.20669471373696727
16,ACBA,Hero,28,1,7,7,4.0
17,"ACHEBE, REVEREND DOC",Hero,51,12,8,96,0.53125
18,ACHILLES,Hero,3,1,2,2,1.5
19,ACHILLES II/HELMUT,Hero,91,15,16,240,0.37916666666666665
20,ACROBAT/CARL ZANTE,Villain,3,3,1,3,1.0
21,"ADAM 3,031",Hero,4,4,1,4,1.0
22,ADAM X,Hero,22,4,6,24,0.9166666666666666
23,"ADAMS, CINDY",Hero,19,10,5,50,0.38
24,"ADAMS, CONGRESSMAN H",Hero,6,1,3,3,2.0
25,"ADAMS, GEORGE",Hero,4,2,2,4,1.0
26,"ADAMS, MARTHA",Hero,4,2,2,4,1.0
27,"ADAMS, NICOLE NIKKI",Hero,72,21,11,231,0.3116883116883117
28,"ADAMSON, JASON",Hero,3,3,1,3,1.0
29,"ADAMSON, REBECCA",Hero,3,3,1,3,1.0
30,ADMIRAL PROTOCOL/,Hero,10,8,2,16,0.625
31,ADORA,Hero,33,11,8,88,0.375
32,ADORA CLONE,Hero,4,2,2,4,1.0
33,ADRIA,Hero,9,4,3,12,0.75
34,ADVA,Hero,48,8,7,56,0.8571428571428571
35,ADVENT/KYLE GROBE,Hero,3,3,1,3,1.0
36,ADVERSARY,Villain,194,13,17,221,0.8778280542986425
37,AEGIS/TREY ROLLINS,Hero,33,11,9,99,0.3333333333333333
38,AENTAROS,Hero,8,6,2,12,0.6666666666666666
39,AFTERLIFE,Hero,4,2,2,4,1.0
40,AGAMEMNON,Hero,3,1,2,2,1.5
41,AGAMEMNON II/ANDREI,Hero,3,1,2,2,1.5
42,AGAMEMNON III/,Hero,66,15,11,165,0.4
43,AGAMOTTO,Hero,73,12,11,132,0.553030303030303
44,"AGARN, CAPT.",Hero,1,1,1,1,1.0
45,AGED GENGHIS,Hero,42,8,8,64,0.65625
46,"AGEE, DR. AUBREY",Hero,26,5,6,30,0.8666666666666667
47,"AGEE, REBECCA",Hero,6,2,3,6,1.0
48,AGENT 18/JACK TRUMAN,Hero,8,4,3,12,0.6666666666666666
49,AGENT AXIS/,Hero,9,4,3,12,0.75
50,AGENT-X/,Hero,16,2,5,10,1.6
51,AGGAMON,Villain,2,2,1,2,1.0
52,AGINAR,Hero,13,3,5,15,0.8666666666666667
53,AGON,Hero,15,1,5,5,3.0
54,AGONY/,Villain,10,1,4,4,2.5
55,"AGUIRRE, ISOBEL",Hero,12,3,4,12,1.0
56,AHAB/RORY CAMPBELL,Villain,187,12,25,300,0.6233333333333333
57,AHQLAU,Hero,5,5,1,5,1.0
58,AHURA,Hero,68,7,9,63,1.0793650793650793
59,AI-CHIA,Hero,2,2,1,2,1.0
60,AINET,Hero,20,2,5,10,2.0
61,AIR WALKER/ARLO SAMU,Hero,1,1,1,1,1.0
62,AIR-WALKER/GABRIEL L,Villain,64,12,8,96,0.6666666666666666
63,AIRBORNE/,Hero,56,2,12,24,2.3333333333333335
64,AIREO/AEOLUS [INHUMA,Hero,104,16,12,192,0.5416666666666666
65,AJAK/TECUMOTZIN [ETE,Hero,136,14,23,322,0.422360248447205
66,AJAX,Villain,64,20,12,240,0.26666666666666666
67,AJAX II,Villain,10,3,3,9,1.1111111111111112
68,AJES'HA,Hero,15,1,5,5,3.0
69,AKAFE,Hero,12,2,4,8,1.5
70,AKULIA,Hero,3,3,1,3,1.0
71,"AKUTAGAWA, OSAMU",Hero,3,1,2,2,1.5
72,AL-KHALAD,Hero,5,2,2,4,1.25
73,ALANYA,Hero,3,1,2,2,1.5
74,ALBERIK,Hero,6,1,3,3,2.0
75,ALBERT,Hero,64,17,9,153,0.41830065359477125
76,ALBINO/DR. AUGUSTA S,Hero,15,1,5,5,3.0
77,"ALBUQUERQUE, JEREMIA",Hero,1,1,1,1,1.0
78,ALCHEMY/THOMAS JONES,Hero,35,4,8,32,1.09375
79,"ALDEN, PROF. MEREDIT",Hero,21,4,6,24,0.875
80,"ALEGRIA, RICHIE",Hero,14,4,4,16,0.875
81,"ALEXANDER, CALEB",Hero,31,12,7,84,0.36904761904761907
82,"ALEXANDER, CARRIE",Hero,70,24,12,288,0.24305555555555555
83,ALFY,Hero,46,3,9,27,1.7037037037037037
84,ALIOTH,Villain,3,1,2,2,1.5
85,ALIST,Hero,1,1,1,1,1.0
86,ALISTRO,Hero,10,1,4,4,2.5
87,"ALLEN, TERRY",Hero,3,1,2,2,1.5
88,"ALOUETTE, GENARD",Hero,27,2,7,14,1.9285714285714286
89,ALPHA,Villain,4,2,2,4,1.0
90,"ALRAUNE, MARLENE",Hero,163,82,17,1394,0.11692969870875179
91,"ALVAREZ, CARLY",Hero,23,3,6,18,1.2777777777777777
92,"ALVAREZ, FELIX",Hero,99,19,14,266,0.37218045112781956
93,"ALVAREZ, PAUL",Hero,10,6,3,18,0.5555555555555556
94,AMAZO-MAXI-WOMAN/,Hero,1,1,1,1,1.0
95,AMAZON,Hero,21,1,6,6,3.5
96,AMENHOTEP,Hero,20,2,5,10,2.0
97,AMERICAN EAGLE II/JA,Hero,6,1,3,3,2.0
98,AMERICAN EAGLE III/J,Hero,64,5,12,60,1.0666666666666667
99,AMERICAN SAMURAI/,Hero,11,3,3,9,1.2222222222222223
100,AMERICOP/,Villain,10,3,3,9,1.1111111111111112
101,AMIKO,Hero,19,9,3,27,0.7037037037037037
102,AMINEDI,Hero,18,3,4,12,1.5
103,AMPERE/,Hero,1,1,1,1,1.0
104,AMPHARON,Hero,10,1,4,4,2.5
105,AMPHIBIAN/KINGLEY RI,Hero,65,13,8,104,0.625
106,AMPHIBIUS,Villain,281,18,27,486,0.5781893004115226
107,ANACONDA/BLANCHE SIT,Villain,1077,33,63,2079,0.5180375180375181
108,ANAIS,Hero,16,4,4,16,1.0
109,ANAK,Hero,38,13,6,78,0.48717948717948717
110,ANALYZER,Hero,169,35,23,805,0.20993788819875778
111,"ANAMI, HIROSHI",Hero,1,1,1,1,1.0
112,ANANASTASIA/ANNA,Hero,7,3,2,6,1.1666666666666667
113,ANARCHIST/TIKE ALICA,Hero,8,2,3,6,1.3333333333333333
114,ANCESTOR/,Hero,13,4,3,12,1.0833333333333333
115,ANCIENT ONE,Hero,179,74,17,1258,0.1422893481717011
