hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
24-HOUR MAN/EMMANUEL,Hero,403,22,36,792,0.508838384
3-D MAN/CHARLES CHAN,Hero,245475,9742,5534,53912228,0.004553234
4-D MAN/MERCURIO,Villain,189489,4612,3822,17627064,0.01074989
8-BALL/,Hero,4057,25,139,3475,1.167482014
A,Hero,94952,1154,1616,1864864,0.050916313
A'YIN,Hero,99005,1237,1642,2031154,0.048743227
"ABBOTT, JACK",Hero,108490,2167,2108,4568036,0.023749813
ABCISSA,Hero,154516,2882,3040,8761280,0.017636236
ABEL,Hero,46168,438,859,376242,0.122708257
ABOMINATION | MUTANT,Villain,45776,261,785,204885,0.223422896
ABOMINATION/EMIL BLO,Villain,250766,9664,5713,55210432,0.004542004
ABOMINATRIX,Villain,106615,1202,1833,2203266,0.048389527
ABRAXAS,Villain,147832,2711,2816,7634176,0.0193645
ABSALOM,Villain,105742,1181,1922,2269882,0.0465848
ABSORBING MAN | MUTA,Villain,45776,261,785,204885,0.223422896
ABSORBING MAN/CARL C,Villain,247017,9444,5561,52518084,0.004703466
ACBA,Hero,111643,1464,2002,2930928,0.038091349
"ACHEBE, REVEREND DOC",Hero,167439,3662,3283,12022346,0.013927315
ACHILLES,Hero,2025,13,84,1092,1.854395604
ACHILLES II/HELMUT,Hero,151373,3109,2963,9211967,0.016432213
ACROBAT/CARL ZANTE,Villain,138718,2355,2586,6090030,0.022777885
"ADAM 3,031",Hero,70690,616,1199,738584,0.09571017
ADAM X,Hero,135798,1995,2479,4945605,0.027458319
"ADAMS, CINDY",Hero,192140,4756,3941,18743396,0.010251077
"ADAMS, CONGRESSMAN H",Hero,97801,1687,1867,3149629,0.031051594
"ADAMS, GEORGE",Hero,47990,446,832,371072,0.129328001
"ADAMS, MARTHA",Hero,47990,446,832,371072,0.129328001
"ADAMS, NICOLE NIKKI",Hero,204372,6089,4186,25488554,0.008018187
"ADAMSON, JASON",Hero,46,6,10,60,0.766666667
"ADAMSON, REBECCA",Hero,46,6,10,60,0.766666667
ADMIRAL PROTOCOL/,Hero,82162,672,1449,973728,0.0843788
ADORA,Hero,189224,5170,3906,20194020,0.009370299
ADORA CLONE,Hero,60607,387,1072,414864,0.146088839
ADRIA,Hero,67097,704,1178,829312,0.080906824
ADVA,Hero,175858,4537,3455,15675335,0.011218771
ADVENT/KYLE GROBE,Hero,67175,560,1227,687120,0.097763127
ADVERSARY,Villain,137317,2195,2645,5805775,0.023651795
AEGIS/TREY ROLLINS,Hero,188683,4389,3813,16735257,0.01127458
AENTAROS,Hero,109134,1118,1937,2165566,0.050395139
AFTERLIFE,Hero,63987,663,1115,739245,0.086557231
AGAMEMNON,Hero,2025,13,84,1092,1.854395604
AGAMEMNON II/ANDREI,Hero,103726,1335,1825,2436375,0.042573906
AGAMEMNON III/,Hero,175012,4461,3525,15725025,0.011129521
AGAMOTTO,Hero,145907,3612,3020,10908240,0.013375852
"AGARN, CAPT.",Hero,1307,18,79,1422,0.919127989
AGED GENGHIS,Hero,91518,1121,1647,1846287,0.049568675
"AGEE, DR. AUBREY",Hero,139313,2188,2618,5728184,0.024320622
"AGEE, REBECCA",Hero,128379,1828,2332,4262896,0.030115443
AGENT 18/JACK TRUMAN,Hero,97644,1366,2008,2742928,0.035598455
AGENT AXIS/,Hero,132923,2180,2434,5306120,0.025050885
AGENT-X/,Hero,125279,1764,2296,4050144,0.030931987
AGGAMON,Villain,62284,645,1100,709500,0.087785765
AGINAR,Hero,150035,2760,2698,7446480,0.020148446
AGON,Hero,53545,412,897,369564,0.144886948
AGONY/,Villain,165796,3362,3296,11081152,0.014961982
"AGUIRRE, ISOBEL",Hero,111841,1554,2040,3170160,0.035279292
AHAB/RORY CAMPBELL,Villain,204149,5749,4424,25433576,0.008026752
AHQLAU,Hero,49415,232,838,194416,0.254171467
AHURA,Hero,163294,3551,3149,11182099,0.014603162
AI-CHIA,Hero,83735,819,1383,1132677,0.073926636
AINET,Hero,159166,3443,3244,11169092,0.014250577
AIR WALKER/ARLO SAMU,Hero,7469,56,191,10696,0.698298429
AIR-WALKER/GABRIEL L,Villain,137191,2554,2555,6525470,0.021023926
AIRBORNE/,Hero,181075,3836,3615,13867140,0.013057848
AIREO/AEOLUS [INHUMA,Hero,164544,3467,3302,11448034,0.014373123
AJAK/TECUMOTZIN [ETE,Hero,246653,9841,5555,54666755,0.004511938
AJAX,Villain,188920,4550,3871,17613050,0.010726138
AJAX II,Villain,7781,115,295,33925,0.22935888
AJES'HA,Hero,113254,1437,2027,2912799,0.038881502
AKAFE,Hero,100478,1261,1730,2181530,0.0460585
AKULIA,Hero,15115,114,290,33060,0.457199032
"AKUTAGAWA, OSAMU",Hero,142709,2432,2679,6515328,0.021903579
AL-KHALAD,Hero,39842,272,670,182240,0.218623793
ALANYA,Hero,138038,2379,2538,6037902,0.022861915
ALBERIK,Hero,89081,849,1489,1264161,0.070466499
ALBERT,Hero,169465,3587,3403,12206561,0.013883108
ALBINO/DR. AUGUSTA S,Hero,113373,1254,2034,2550636,0.044448914
"ALBUQUERQUE, JEREMIA",Hero,38649,297,731,217107,0.178018212
ALCHEMY/THOMAS JONES,Hero,139027,2382,2619,6238458,0.022285475
"ALDEN, PROF. MEREDIT",Hero,160466,3548,3052,10828496,0.014818863
"ALEGRIA, RICHIE",Hero,66629,627,1129,707883,0.094124312
"ALEXANDER, CALEB",Hero,185280,5307,3898,20686686,0.008956485
"ALEXANDER, CARRIE",Hero,223282,7841,4797,37613277,0.005936255
ALFY,Hero,153072,3103,3001,9312103,0.016437963
ALIOTH,Villain,52726,464,884,410176,0.12854482
ALIST,Hero,39424,310,688,213280,0.184846212
ALISTRO,Hero,47877,624,778,485472,0.098619488
"ALLEN, TERRY",Hero,139703,2741,2677,7337657,0.019039184
"ALOUETTE, GENARD",Hero,65158,493,1213,598009,0.108958226
ALPHA,Villain,132271,2129,2431,5175599,0.025556655
"ALRAUNE, MARLENE",Hero,207471,6526,4470,29171220,0.007112181
"ALVAREZ, CARLY",Hero,162741,2862,3154,9026748,0.018028752
"ALVAREZ, FELIX",Hero,169261,4066,3407,13852862,0.012218486
"ALVAREZ, PAUL",Hero,132075,2209,2367,5228703,0.02525961
AMAZO-MAXI-WOMAN/,Hero,28,1,7,7,4
AMAZON,Hero,111599,1247,1957,2440379,0.045730192
AMENHOTEP,Hero,109135,1173,1793,2103189,0.051890249
AMERICAN EAGLE II/JA,Hero,175029,4066,3476,14133416,0.012384055
AMERICAN EAGLE III/J,Hero,244367,9635,5473,52732355,0.0046341
AMERICAN SAMURAI/,Hero,56897,654,1034,676236,0.084137786
AMERICOP/,Villain,117784,1592,2092,3330464,0.035365643
AMIKO,Hero,117992,1682,2132,3586024,0.032903293
AMINEDI,Hero,34838,126,578,72828,0.478359971
AMPERE/,Hero,96139,775,1563,1211325,0.079366809
AMPHARON,Hero,117532,2176,2272,4943872,0.023773269
AMPHIBIAN/KINGLEY RI,Hero,185217,5001,3779,18898779,0.009800474
