,hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
0,24-HOUR MAN/EMMANUEL,Hero,1,1,1,1,1.0
1,3-D MAN/CHARLES CHAN,Hero,5916,705,306,215730,0.027423167848699765
2,4-D MAN/MERCURIO,Villain,5005,857,258,221106,0.02263620164084195
3,8-BALL/,Hero,3,3,1,3,1.0
4,A,Hero,848,90,61,5490,0.15446265938069217
5,A'YIN,Hero,486,46,40,1840,0.26413043478260867
6,"ABBOTT, JACK",Hero,2359,293,146,42778,0.05514516807704895
7,ABCISSA,Hero,1475,150,87,13050,0.11302681992337164
8,ABEL,Hero,2,2,1,2,1.0
9,ABOMINATION | MUTANT,Villain,189,30,28,840,0.225
10,ABOMINATION/EMIL BLO,Villain,12105,2164,501,1084164,0.011165284956888441
11,ABOMINATRIX,Villain,7,3,2,6,1.1666666666666667
12,ABRAXAS,Villain,4,4,1,4,1.0
13,ABSALOM,Villain,2151,300,144,43200,0.049791666666666665
14,ABSORBING MAN | MUTA,Villain,189,30,28,840,0.225
15,ABSORBING MAN/CARL C,Villain,15950,3488,599,2089312,0.007634091988176012
16,ACBA,Hero,1657,190,103,19570,0.08467041389882474
17,"ACHEBE, REVEREND DOC",Hero,3683,354,206,72924,0.05050463496242664
18,ACHILLES,Hero,64,11,12,132,0.48484848484848486
19,ACHILLES II/HELMUT,Hero,3518,330,196,64680,0.05439084724799011
20,ACROBAT/CARL ZANTE,Villain,3,3,1,3,1.0
21,"ADAM 3,031",Hero,4,4,1,4,1.0
22,ADAM X,Hero,3477,352,220,77440,0.04489927685950413
23,"ADAMS, CINDY",Hero,935,86,76,6536,0.14305385556915545
24,"ADAMS, CONGRESSMAN H",Hero,3635,612,195,119340,0.030459192223898108
25,"ADAMS, GEORGE",Hero,523,49,48,2352,0.2223639455782313
26,"ADAMS, MARTHA",Hero,523,49,48,2352,0.2223639455782313
27,"ADAMS, NICOLE NIKKI",Hero,5177,561,275,154275,0.03355695997407227
28,"ADAMSON, JASON",Hero,3,3,1,3,1.0
29,"ADAMSON, REBECCA",Hero,3,3,1,3,1.0
30,ADMIRAL PROTOCOL/,Hero,12,10,2,20,0.6
31,ADORA,Hero,1973,223,136,30328,0.06505539435505144
32,ADORA CLONE,Hero,18,5,6,30,0.6
33,ADRIA,Hero,617,104,50,5200,0.11865384615384615
34,ADVA,Hero,481,97,46,4462,0.1077991931869117
35,ADVENT/KYLE GROBE,Hero,3,3,1,3,1.0
36,ADVERSARY,Villain,6591,672,317,213024,0.030940175754844524
37,AEGIS/TREY ROLLINS,Hero,1353,100,98,9800,0.1380612244897959
38,AENTAROS,Hero,8,6,2,12,0.6666666666666666
39,AFTERLIFE,Hero,291,55,26,1430,0.2034965034965035
40,AGAMEMNON,Hero,64,11,12,132,0.48484848484848486
41,AGAMEMNON II/ANDREI,Hero,3368,384,214,82176,0.04098520249221184
42,AGAMEMNON III/,Hero,2677,258,165,42570,0.06288466055907917
43,AGAMOTTO,Hero,4345,647,236,152692,0.02845597673748461
44,"AGARN, CAPT.",Hero,1,1,1,1,1.0
45,AGED GENGHIS,Hero,3882,544,218,118592,0.032734079870480305
46,"AGEE, DR. AUBREY",Hero,3753,436,218,95048,0.0394853126841175
47,"AGEE, REBECCA",Hero,1570,155,99,15345,0.10231345715216683
48,AGENT 18/JACK TRUMAN,Hero,3578,589,197,116033,0.03083605526014151
49,AGENT AXIS/,Hero,358,35,39,1365,0.2622710622710623
50,AGENT-X/,Hero,2905,238,171,40698,0.07137942896456828
51,AGGAMON,Villain,2,2,1,2,1.0
52,AGINAR,Hero,256,48,33,1584,0.16161616161616163
