,hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
0,24-HOUR MAN/EMMANUEL,Hero,0,na,1,0.0,
1,3-D MAN/CHARLES CHAN,Hero,56,na,12,66.0,0.8484848484848485
2,4-D MAN/MERCURIO,Villain,26,na,12,66.0,0.3939393939393939
3,8-BALL/,Hero,0,na,1,0.0,
4,"ABBOTT, JACK",Hero,6,na,4,6.0,1.0
5,ABCISSA,Hero,6,na,4,6.0,1.0
6,ABEL,Hero,0,na,1,0.0,
7,ABOMINATION/EMIL BLO,Villain,269,na,39,741.0,0.3630229419703104
8,ABOMINATION | MUTANT,Villain,45,na,10,45.0,1.0
9,ABOMINATRIX,Villain,1,na,2,1.0,1.0
10,ABRAXAS,Villain,0,na,1,0.0,
11,ABSALOM,Villain,28,na,10,45.0,0.6222222222222222
12,ABSORBING MAN/CARL C,Villain,783,na,77,2926.0,0.2676008202323992
13,ABSORBING MAN | MUTA,Villain,45,na,10,45.0,1.0
14,ACBA,Hero,21,na,7,21.0,1.0
15,"ACHEBE, REVEREND DOC",Hero,21,na,8,28.0,0.75
16,ACHILLES II/HELMUT,Hero,51,na,16,120.0,0.425
17,ACHILLES,Hero,1,na,2,1.0,1.0
18,ACROBAT/CARL ZANTE,Villain,0,na,1,0.0,
19,"ADAM 3,031",Hero,0,na,1,0.0,
20,"ADAMS, CINDY",Hero,5,na,5,10.0,0.5
21,"ADAMS, CONGRESSMAN H",Hero,3,na,3,3.0,1.0
22,"ADAMS, GEORGE",Hero,1,na,2,1.0,1.0
23,"ADAMS, MARTHA",Hero,1,na,2,1.0,1.0
24,"ADAMS, NICOLE NIKKI",Hero,23,na,11,55.0,0.41818181818181815
25,"ADAMSON, JASON",Hero,0,na,1,0.0,
26,"ADAMSON, REBECCA",Hero,0,na,1,0.0,
27,ADAM X,Hero,13,na,6,15.0,0.8666666666666667
28,ADMIRAL PROTOCOL/,Hero,1,na,2,1.0,1.0
29,ADORA,Hero,11,na,8,28.0,0.39285714285714285
30,ADORA CLONE,Hero,1,na,2,1.0,1.0
31,ADRIA,Hero,3,na,3,3.0,1.0
32,ADVA,Hero,18,na,7,21.0,0.8571428571428571
33,ADVENT/KYLE GROBE,Hero,0,na,1,0.0,
34,ADVERSARY,Villain,123,na,17,136.0,0.9044117647058824
35,AEGIS/TREY ROLLINS,Hero,12,na,9,36.0,0.3333333333333333
36,AENTAROS,Hero,1,na,2,1.0,1.0
37,AFTERLIFE,Hero,1,na,2,1.0,1.0
38,AGAMEMNON II/ANDREI,Hero,1,na,2,1.0,1.0
39,AGAMEMNON III/,Hero,29,na,11,55.0,0.5272727272727272
40,AGAMEMNON,Hero,1,na,2,1.0,1.0
41,AGAMOTTO,Hero,41,na,11,55.0,0.7454545454545455
42,"AGARN, CAPT.",Hero,0,na,1,0.0,
43,AGED GENGHIS,Hero,20,na,8,28.0,0.7142857142857143
44,"AGEE, DR. AUBREY",Hero,13,na,6,15.0,0.8666666666666667
45,"AGEE, REBECCA",Hero,2,na,3,3.0,0.6666666666666666
46,AGENT 18/JACK TRUMAN,Hero,2,na,3,3.0,0.6666666666666666
47,AGENT AXIS/,Hero,3,na,3,3.0,1.0
48,AGENT-X/,Hero,10,na,5,10.0,1.0
49,AGGAMON,Villain,0,na,1,0.0,
50,AGINAR,Hero,6,na,5,10.0,0.6
51,AGON,Hero,10,na,5,10.0,1.0
52,AGONY/,Villain,6,na,4,6.0,1.0
53,"AGUIRRE, ISOBEL",Hero,5,na,4,6.0,0.8333333333333334
54,AHAB/RORY CAMPBELL,Villain,137,na,25,300.0,0.45666666666666667
55,AHQLAU,Hero,0,na,1,0.0,
56,AHURA,Hero,34,na,9,36.0,0.9444444444444444
57,AI-CHIA,Hero,0,na,1,0.0,
58,AINET,Hero,10,na,5,10.0,1.0
59,AIRBORNE/,Hero,43,na,12,66.0,0.6515151515151515
60,AIREO/AEOLUS [INHUMA,Hero,33,na,12,66.0,0.5
61,AIR WALKER/ARLO SAMU,Hero,0,na,1,0.0,
62,AIR-WALKER/GABRIEL L,Villain,21,na,8,28.0,0.75
63,AJAK/TECUMOTZIN [ETE,Hero,98,na,23,253.0,0.38735177865612647
64,AJAX,Villain,33,na,12,66.0,0.5
65,AJAX II,Villain,3,na,3,3.0,1.0
66,AJES'HA,Hero,10,na,5,10.0,1.0
67,AKAFE,Hero,6,na,4,6.0,1.0
68,AKULIA,Hero,0,na,1,0.0,
69,"AKUTAGAWA, OSAMU",Hero,1,na,2,1.0,1.0
70,ALANYA,Hero,1,na,2,1.0,1.0
71,ALBERIK,Hero,3,na,3,3.0,1.0
72,ALBERT,Hero,22,na,9,36.0,0.6111111111111112
73,ALBINO/DR. AUGUSTA S,Hero,10,na,5,10.0,1.0
74,"ALBUQUERQUE, JEREMIA",Hero,0,na,1,0.0,
75,ALCHEMY/THOMAS JONES,Hero,23,na,8,28.0,0.8214285714285714
76,"ALDEN, PROF. MEREDIT",Hero,12,na,6,15.0,0.8
77,"ALEGRIA, RICHIE",Hero,5,na,4,6.0,0.8333333333333334
78,"ALEXANDER, CALEB",Hero,9,na,7,21.0,0.42857142857142855
79,"ALEXANDER, CARRIE",Hero,24,na,12,66.0,0.36363636363636365
80,ALFY,Hero,30,na,9,36.0,0.8333333333333334
81,ALIOTH,Villain,1,na,2,1.0,1.0
82,ALISTRO,Hero,6,na,4,6.0,1.0
83,ALIST,Hero,0,na,1,0.0,
84,AL-KHALAD,Hero,1,na,2,1.0,1.0
85,"ALLEN, TERRY",Hero,1,na,2,1.0,1.0
86,"ALOUETTE, GENARD",Hero,18,na,7,21.0,0.8571428571428571
87,ALPHA,Villain,1,na,2,1.0,1.0
88,"ALRAUNE, MARLENE",Hero,59,na,17,136.0,0.4338235294117647
89,"ALVAREZ, CARLY",Hero,14,na,6,15.0,0.9333333333333333
90,"ALVAREZ, FELIX",Hero,50,na,14,91.0,0.5494505494505495
91,"ALVAREZ, PAUL",Hero,2,na,3,3.0,0.6666666666666666
92,AMAZO-MAXI-WOMAN/,Hero,0,na,1,0.0,
93,AMAZON,Hero,15,na,6,15.0,1.0
94,AMENHOTEP,Hero,10,na,5,10.0,1.0
95,AMERICAN EAGLE III/J,Hero,46,na,12,66.0,0.696969696969697
96,AMERICAN EAGLE II/JA,Hero,3,na,3,3.0,1.0
97,AMERICAN SAMURAI/,Hero,3,na,3,3.0,1.0
98,AMERICOP/,Villain,3,na,3,3.0,1.0
99,AMIKO,Hero,3,na,3,3.0,1.0
100,AMINEDI,Hero,6,na,4,6.0,1.0
101,AMPERE/,Hero,0,na,1,0.0,
102,AMPHARON,Hero,6,na,4,6.0,1.0
103,AMPHIBIAN/KINGLEY RI,Hero,20,na,8,28.0,0.7142857142857143
104,AMPHIBIUS,Villain,178,na,27,351.0,0.5071225071225072
105,ANACONDA/BLANCHE SIT,Villain,754,na,63,1953.0,0.3860727086533538
106,ANAIS,Hero,6,na,4,6.0,1.0
107,ANAK,Hero,10,na,6,15.0,0.6666666666666666
108,ANALYZER,Hero,70,na,23,253.0,0.2766798418972332
109,"ANAMI, HIROSHI",Hero,0,na,1,0.0,
110,ANANASTASIA/ANNA,Hero,1,na,2,1.0,1.0
111,ANARCHIST/TIKE ALICA,Hero,3,na,3,3.0,1.0
112,ANCESTOR/,Hero,3,na,3,3.0,1.0
113,ANCIENT ONE,Hero,37,na,17,136.0,0.27205882352941174
114,ANCIENT ONE/BARON MO,Hero,45,na,10,45.0,1.0
115,"ANDERS, JOSHUA RICHI",Hero,1,na,2,1.0,1.0
116,"ANDERSON, BAXTER",Hero,1,na,2,1.0,1.0
117,"ANDERSON, CHARLES",Hero,13,na,7,21.0,0.6190476190476191
118,"ANDERSON, CHET",Hero,0,na,1,0.0,
119,"ANDERSON, CHIEF MAGI",Hero,37,na,11,55.0,0.6727272727272727
120,"ANDERSON, GINA",Hero,0,na,1,0.0,
121,"ANDERSON, MARJORIE",Hero,0,na,1,0.0,
122,"ANDERSON, NICKY",Hero,0,na,1,0.0,
123,"ANDERSSEN, TANYA",Hero,132,na,22,231.0,0.5714285714285714
124,"ANDREWS, DARYL TROOP",Hero,8,na,6,15.0,0.5333333333333333
125,ANDROMEDA/ANDROMEDA,Hero,79,na,23,253.0,0.31225296442687744
126,ANDROS,Hero,10,na,5,10.0,1.0
127,ANDWELLA,Hero,1,na,2,1.0,1.0
128,ANELLE,Hero,5,na,4,6.0,0.8333333333333334
129,ANGAR THE SCREAMER/D,Hero,438,na,52,1326.0,0.33031674208144796
130,ANGEL 2013,Hero,0,na,1,0.0,
131,ANGEL DOPPELGANGER,Villain,78,na,13,78.0,1.0
132,ANGEL III/HALLOWAY,Hero,7,na,5,10.0,0.7
133,ANGEL II/THOMAS HALL,Hero,1,na,2,1.0,1.0
134,ANGEL IV,Hero,13,na,6,15.0,0.8666666666666667
135,"ANGELOPOULOS, ANGEL",Hero,0,na,1,0.0,
136,ANGEL/WARREN KENNETH,Hero,3427,na,266,35245.0,0.09723365016314371
137,ANGKOR,Villain,0,na,1,0.0,
138,ANGLER,Hero,17,na,7,21.0,0.8095238095238095
139,"ANGSTROM, EARL",Hero,3,na,3,3.0,1.0
140,ANIELLE,Hero,0,na,1,0.0,
141,ANIMATOR/DR. FREDRIC,Villain,44,na,10,45.0,0.9777777777777777
142,ANIMATOR II/,Villain,0,na,1,0.0,
143,ANIMUS,Hero,0,na,1,0.0,
144,ANNALEE,Villain,113,na,16,120.0,0.9416666666666667
145,ANNIHILUS,Villain,139,na,27,351.0,0.396011396011396
146,ANOMALY III,Hero,0,na,1,0.0,
147,ANOMALY,Hero,6,na,4,6.0,1.0
148,"ANON, LORD",Hero,66,na,12,66.0,1.0
149,ANSWER II/DAVID FERR,Villain,4,na,4,6.0,0.6666666666666666
150,ANSWER,Villain,28,na,9,36.0,0.7777777777777778
151,ANTEUS,Hero,46,na,11,55.0,0.8363636363636363
152,ANTHROMORPHO,Hero,12,na,6,15.0,0.8
153,ANTIBODY,Hero,0,na,1,0.0,
154,ANTI-PHOENIX,Hero,0,na,1,0.0,
155,ANTIQUARY/,Hero,0,na,1,0.0,
156,ANTI-VISION,Hero,1,na,2,1.0,1.0
157,ANT-MAN/DR. HENRY J.,Hero,3167,na,262,34191.0,0.09262671463250563
