hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
24-HOUR MAN/EMMANUEL,Hero,229,na,36,630,0.363492063
3-D MAN/CHARLES CHAN,Hero,163160,na,5534,15309811,0.010657218
4-D MAN/MERCURIO,Villain,140971,na,3822,7301931,0.019305989
8-BALL/,Hero,3770,na,139,9591,0.393076843
"ABBOTT, JACK",Hero,88796,na,2108,2220778,0.039984186
ABCISSA,Hero,121704,na,3040,4619280,0.026346963
ABEL,Hero,39607,na,859,368511,0.107478474
ABOMINATION/EMIL BLO,Villain,165928,na,5713,16316328,0.010169445
ABOMINATION | MUTANT,Villain,41081,na,785,307720,0.133501235
ABOMINATRIX,Villain,91072,na,1833,1679028,0.054240906
ABRAXAS,Villain,118017,na,2816,3963520,0.029775805
ABSALOM,Villain,89193,na,1922,1846081,0.048314781
ABSORBING MAN/CARL C,Villain,163329,na,5561,15459580,0.010564905
ABSORBING MAN | MUTA,Villain,41081,na,785,307720,0.133501235
ACBA,Hero,94533,na,2002,2003001,0.047195683
"ACHEBE, REVEREND DOC",Hero,129425,na,3283,5387403,0.024023634
ACHILLES II/HELMUT,Hero,119971,na,2963,4388203,0.027339437
ACHILLES,Hero,1825,na,84,3486,0.523522662
ACROBAT/CARL ZANTE,Villain,112029,na,2586,3342405,0.033517482
"ADAM 3,031",Hero,61442,na,1199,718201,0.085549867
"ADAMS, CINDY",Hero,142127,na,3941,7763770,0.018306441
"ADAMS, CONGRESSMAN H",Hero,81554,na,1867,1741911,0.046818695
"ADAMS, GEORGE",Hero,43342,na,832,345696,0.125376053
"ADAMS, MARTHA",Hero,43342,na,832,345696,0.125376053
"ADAMS, NICOLE NIKKI",Hero,146324,na,4186,8759205,0.016705169
"ADAMSON, JASON",Hero,21,na,10,45,0.466666667
"ADAMSON, REBECCA",Hero,21,na,10,45,0.466666667
ADAM X,Hero,109501,na,2479,3071481,0.03565088
ADMIRAL PROTOCOL/,Hero,73010,na,1449,1049076,0.069594577
ADORA,Hero,139445,na,3906,7626465,0.018284356
ADORA CLONE,Hero,54491,na,1072,574056,0.094922795
ADRIA,Hero,59977,na,1178,693253,0.086515313
ADVA,Hero,131192,na,3455,5966785,0.02198705
ADVENT/KYLE GROBE,Hero,59656,na,1227,752151,0.079313861
ADVERSARY,Villain,110735,na,2645,3496690,0.031668521
AEGIS/TREY ROLLINS,Hero,141668,na,3813,7267578,0.019493152
AENTAROS,Hero,92797,na,1937,1875016,0.049491311
AFTERLIFE,Hero,57430,na,1115,621055,0.092471681
AGAMEMNON II/ANDREI,Hero,87736,na,1825,1664400,0.05271329
AGAMEMNON III/,Hero,131665,na,3525,6211050,0.021198509
AGAMEMNON,Hero,1825,na,84,3486,0.523522662
AGAMOTTO,Hero,113944,na,3020,4558690,0.0249949
"AGARN, CAPT.",Hero,1121,na,79,3081,0.363842908
AGED GENGHIS,Hero,79918,na,1647,1355481,0.058959144
"AGEE, DR. AUBREY",Hero,111671,na,2618,3425653,0.032598456
