hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
24-HOUR MAN/EMMANUEL,Hero,15,na,6,15,1
3-D MAN/CHARLES CHAN,Hero,6645,na,123,7503,0.885645742
4-D MAN/MERCURIO,Villain,1271,na,73,2628,0.483637747
8-BALL/,Hero,81,na,15,105,0.771428571
"ABBOTT, JACK",Hero,36,na,9,36,1
ABCISSA,Hero,114,na,16,120,0.95
ABEL,Hero,65,na,12,66,0.984848485
ABOMINATION/EMIL BLO,Villain,6465,na,191,18145,0.3562965
ABOMINATION | MUTANT,Villain,1176,na,49,1176,1
ABOMINATRIX,Villain,21,na,7,21,1
ABRAXAS,Villain,130,na,22,231,0.562770563
ABSALOM,Villain,565,na,42,861,0.656213705
ABSORBING MAN/CARL C,Villain,11309,na,279,38781,0.291611872
ABSORBING MAN | MUTA,Villain,1176,na,49,1176,1
ACBA,Hero,595,na,35,595,1
"ACHEBE, REVEREND DOC",Hero,646,na,47,1081,0.59759482
ACHILLES II/HELMUT,Hero,714,na,60,1770,0.403389831
ACHILLES,Hero,15,na,6,15,1
ACROBAT/CARL ZANTE,Villain,20,na,7,21,0.952380952
"ADAM 3,031",Hero,115,na,16,120,0.958333333
"ADAMS, CINDY",Hero,933,na,50,1225,0.761632653
"ADAMS, CONGRESSMAN H",Hero,55,na,11,55,1
"ADAMS, GEORGE",Hero,26,na,8,28,0.928571429
"ADAMS, MARTHA",Hero,26,na,8,28,0.928571429
"ADAMS, NICOLE NIKKI",Hero,1306,na,70,2415,0.540786749
"ADAMSON, JASON",Hero,10,na,5,10,1
"ADAMSON, REBECCA",Hero,10,na,5,10,1
ADAM X,Hero,264,na,30,435,0.606896552
ADMIRAL PROTOCOL/,Hero,667,na,46,1035,0.644444444
ADORA,Hero,738,na,59,1711,0.43132671
ADORA CLONE,Hero,120,na,16,120,1
ADRIA,Hero,51,na,11,55,0.927272727
ADVA,Hero,503,na,39,741,0.678812416
ADVENT/KYLE GROBE,Hero,151,na,18,153,0.986928105
ADVERSARY,Villain,1001,na,51,1275,0.785098039
AEGIS/TREY ROLLINS,Hero,907,na,67,2211,0.410221619
AENTAROS,Hero,356,na,30,435,0.818390805
AFTERLIFE,Hero,43,na,11,55,0.781818182
AGAMEMNON II/ANDREI,Hero,6,na,4,6,1
AGAMEMNON III/,Hero,792,na,57,1596,0.496240602
AGAMEMNON,Hero,15,na,6,15,1
AGAMOTTO,Hero,427,na,41,820,0.520731707
"AGARN, CAPT.",Hero,78,na,13,78,1
AGED GENGHIS,Hero,182,na,26,325,0.56
"AGEE, DR. AUBREY",Hero,475,na,38,703,0.675675676
"AGEE, REBECCA",Hero,133,na,18,153,0.869281046
AGENT 18/JACK TRUMAN,Hero,106,na,16,120,0.883333333
AGENT AXIS/,Hero,186,na,23,253,0.735177866
AGENT-X/,Hero,119,na,18,153,0.777777778
AGGAMON,Villain,3,na,3,3,1
AGINAR,Hero,786,na,45,990,0.793939394
AGON,Hero,55,na,11,55,1
AGONY/,Villain,210,na,21,210,1
"AGUIRRE, ISOBEL",Hero,195,na,22,231,0.844155844
AHAB/RORY CAMPBELL,Villain,3341,na,114,6441,0.518708275
AHQLAU,Hero,204,na,21,210,0.971428571
AHURA,Hero,1037,na,55,1485,0.698316498
AI-CHIA,Hero,3,na,3,3,1
