hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
24-HOUR MAN/EMMANUEL,Hero,0,na,1,0.0,
3-D MAN/CHARLES CHAN,Hero,56,na,12,66.0,0.8484848484848485
4-D MAN/MERCURIO,Villain,26,na,12,66.0,0.3939393939393939
8-BALL/,Hero,0,na,1,0.0,
"ABBOTT, JACK",Hero,6,na,4,6.0,1.0
ABCISSA,Hero,6,na,4,6.0,1.0
ABEL,Hero,0,na,1,0.0,
ABOMINATION/EMIL BLO,Villain,269,na,39,741.0,0.3630229419703104
ABOMINATION | MUTANT,Villain,45,na,10,45.0,1.0
ABOMINATRIX,Villain,1,na,2,1.0,1.0
ABRAXAS,Villain,0,na,1,0.0,
ABSALOM,Villain,28,na,10,45.0,0.6222222222222222
ABSORBING MAN/CARL C,Villain,783,na,77,2926.0,0.2676008202323992
ABSORBING MAN | MUTA,Villain,45,na,10,45.0,1.0
ACBA,Hero,21,na,7,21.0,1.0
"ACHEBE, REVEREND DOC",Hero,21,na,8,28.0,0.75
ACHILLES II/HELMUT,Hero,51,na,16,120.0,0.425
ACHILLES,Hero,1,na,2,1.0,1.0
ACROBAT/CARL ZANTE,Villain,0,na,1,0.0,
"ADAM 3,031",Hero,0,na,1,0.0,
"ADAMS, CINDY",Hero,5,na,5,10.0,0.5
"ADAMS, CONGRESSMAN H",Hero,3,na,3,3.0,1.0
"ADAMS, GEORGE",Hero,1,na,2,1.0,1.0
"ADAMS, MARTHA",Hero,1,na,2,1.0,1.0
"ADAMS, NICOLE NIKKI",Hero,23,na,11,55.0,0.41818181818181815
"ADAMSON, JASON",Hero,0,na,1,0.0,
"ADAMSON, REBECCA",Hero,0,na,1,0.0,
ADAM X,Hero,13,na,6,15.0,0.8666666666666667
ADMIRAL PROTOCOL/,Hero,1,na,2,1.0,1.0
ADORA,Hero,11,na,8,28.0,0.39285714285714285
ADORA CLONE,Hero,1,na,2,1.0,1.0
ADRIA,Hero,3,na,3,3.0,1.0
ADVA,Hero,18,na,7,21.0,0.8571428571428571
ADVENT/KYLE GROBE,Hero,0,na,1,0.0,
ADVERSARY,Villain,123,na,17,136.0,0.9044117647058824
AEGIS/TREY ROLLINS,Hero,12,na,9,36.0,0.3333333333333333
AENTAROS,Hero,1,na,2,1.0,1.0
AFTERLIFE,Hero,1,na,2,1.0,1.0
AGAMEMNON II/ANDREI,Hero,1,na,2,1.0,1.0
AGAMEMNON III/,Hero,29,na,11,55.0,0.5272727272727272
AGAMEMNON,Hero,1,na,2,1.0,1.0
AGAMOTTO,Hero,41,na,11,55.0,0.7454545454545455
"AGARN, CAPT.",Hero,0,na,1,0.0,
AGED GENGHIS,Hero,20,na,8,28.0,0.7142857142857143
"AGEE, DR. AUBREY",Hero,13,na,6,15.0,0.8666666666666667
"AGEE, REBECCA",Hero,2,na,3,3.0,0.6666666666666666
AGENT 18/JACK TRUMAN,Hero,2,na,3,3.0,0.6666666666666666
AGENT AXIS/,Hero,3,na,3,3.0,1.0
AGENT-X/,Hero,10,na,5,10.0,1.0
AGGAMON,Villain,0,na,1,0.0,
AGINAR,Hero,6,na,5,10.0,0.6
AGON,Hero,10,na,5,10.0,1.0
AGONY/,Villain,6,na,4,6.0,1.0
"AGUIRRE, ISOBEL",Hero,5,na,4,6.0,0.8333333333333334
AHAB/RORY CAMPBELL,Villain,137,na,25,300.0,0.45666666666666667
AHQLAU,Hero,0,na,1,0.0,
AHURA,Hero,34,na,9,36.0,0.9444444444444444
AI-CHIA,Hero,0,na,1,0.0,
AINET,Hero,10,na,5,10.0,1.0
AIRBORNE/,Hero,43,na,12,66.0,0.6515151515151515
AIREO/AEOLUS [INHUMA,Hero,33,na,12,66.0,0.5
AIR WALKER/ARLO SAMU,Hero,0,na,1,0.0,
AIR-WALKER/GABRIEL L,Villain,21,na,8,28.0,0.75
AJAK/TECUMOTZIN [ETE,Hero,98,na,23,253.0,0.38735177865612647
AJAX,Villain,33,na,12,66.0,0.5
AJAX II,Villain,3,na,3,3.0,1.0
AJES'HA,Hero,10,na,5,10.0,1.0
AKAFE,Hero,6,na,4,6.0,1.0
AKULIA,Hero,0,na,1,0.0,
"AKUTAGAWA, OSAMU",Hero,1,na,2,1.0,1.0
ALANYA,Hero,1,na,2,1.0,1.0
ALBERIK,Hero,3,na,3,3.0,1.0
ALBERT,Hero,22,na,9,36.0,0.6111111111111112
ALBINO/DR. AUGUSTA S,Hero,10,na,5,10.0,1.0
"ALBUQUERQUE, JEREMIA",Hero,0,na,1,0.0,
ALCHEMY/THOMAS JONES,Hero,23,na,8,28.0,0.8214285714285714
"ALDEN, PROF. MEREDIT",Hero,12,na,6,15.0,0.8
"ALEGRIA, RICHIE",Hero,5,na,4,6.0,0.8333333333333334
"ALEXANDER, CALEB",Hero,9,na,7,21.0,0.42857142857142855
"ALEXANDER, CARRIE",Hero,24,na,12,66.0,0.36363636363636365
ALFY,Hero,30,na,9,36.0,0.8333333333333334
ALIOTH,Villain,1,na,2,1.0,1.0
ALISTRO,Hero,6,na,4,6.0,1.0
ALIST,Hero,0,na,1,0.0,
AL-KHALAD,Hero,1,na,2,1.0,1.0
"ALLEN, TERRY",Hero,1,na,2,1.0,1.0
"ALOUETTE, GENARD",Hero,18,na,7,21.0,0.8571428571428571
ALPHA,Villain,1,na,2,1.0,1.0
"ALRAUNE, MARLENE",Hero,59,na,17,136.0,0.4338235294117647
"ALVAREZ, CARLY",Hero,14,na,6,15.0,0.9333333333333333
"ALVAREZ, FELIX",Hero,50,na,14,91.0,0.5494505494505495
"ALVAREZ, PAUL",Hero,2,na,3,3.0,0.6666666666666666
AMAZO-MAXI-WOMAN/,Hero,0,na,1,0.0,
AMAZON,Hero,15,na,6,15.0,1.0
AMENHOTEP,Hero,10,na,5,10.0,1.0
AMERICAN EAGLE III/J,Hero,46,na,12,66.0,0.696969696969697
AMERICAN EAGLE II/JA,Hero,3,na,3,3.0,1.0
AMERICAN SAMURAI/,Hero,3,na,3,3.0,1.0
AMERICOP/,Villain,3,na,3,3.0,1.0
AMIKO,Hero,3,na,3,3.0,1.0
AMINEDI,Hero,6,na,4,6.0,1.0
AMPERE/,Hero,0,na,1,0.0,
AMPHARON,Hero,6,na,4,6.0,1.0
AMPHIBIAN/KINGLEY RI,Hero,20,na,8,28.0,0.7142857142857143
AMPHIBIUS,Villain,178,na,27,351.0,0.5071225071225072
ANACONDA/BLANCHE SIT,Villain,754,na,63,1953.0,0.3860727086533538
ANAIS,Hero,6,na,4,6.0,1.0
ANAK,Hero,10,na,6,15.0,0.6666666666666666
ANALYZER,Hero,70,na,23,253.0,0.2766798418972332
"ANAMI, HIROSHI",Hero,0,na,1,0.0,
ANANASTASIA/ANNA,Hero,1,na,2,1.0,1.0
ANARCHIST/TIKE ALICA,Hero,3,na,3,3.0,1.0
ANCESTOR/,Hero,3,na,3,3.0,1.0
ANCIENT ONE,Hero,37,na,17,136.0,0.27205882352941174
ANCIENT ONE/BARON MO,Hero,45,na,10,45.0,1.0
"ANDERS, JOSHUA RICHI",Hero,1,na,2,1.0,1.0
"ANDERSON, BAXTER",Hero,1,na,2,1.0,1.0
"ANDERSON, CHARLES",Hero,13,na,7,21.0,0.6190476190476191
"ANDERSON, CHET",Hero,0,na,1,0.0,
"ANDERSON, CHIEF MAGI",Hero,37,na,11,55.0,0.6727272727272727
"ANDERSON, GINA",Hero,0,na,1,0.0,
"ANDERSON, MARJORIE",Hero,0,na,1,0.0,
"ANDERSON, NICKY",Hero,0,na,1,0.0,
"ANDERSSEN, TANYA",Hero,132,na,22,231.0,0.5714285714285714
"ANDREWS, DARYL TROOP",Hero,8,na,6,15.0,0.5333333333333333
ANDROMEDA/ANDROMEDA,Hero,79,na,23,253.0,0.31225296442687744
ANDROS,Hero,10,na,5,10.0,1.0
ANDWELLA,Hero,1,na,2,1.0,1.0
ANELLE,Hero,5,na,4,6.0,0.8333333333333334
ANGAR THE SCREAMER/D,Hero,438,na,52,1326.0,0.33031674208144796
ANGEL 2013,Hero,0,na,1,0.0,
ANGEL DOPPELGANGER,Villain,78,na,13,78.0,1.0
ANGEL III/HALLOWAY,Hero,7,na,5,10.0,0.7
ANGEL II/THOMAS HALL,Hero,1,na,2,1.0,1.0
ANGEL IV,Hero,13,na,6,15.0,0.8666666666666667
"ANGELOPOULOS, ANGEL",Hero,0,na,1,0.0,
ANGEL/WARREN KENNETH,Hero,3427,na,266,35245.0,0.09723365016314371
ANGKOR,Villain,0,na,1,0.0,
ANGLER,Hero,17,na,7,21.0,0.8095238095238095
