,hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
0,24-HOUR MAN/EMMANUEL,Hero,229,na,36,630.0,0.3634920634920635
1,3-D MAN/CHARLES CHAN,Hero,163160,na,5534,15309811.0,0.010657218433330104
2,4-D MAN/MERCURIO,Villain,140971,na,3822,7301931.0,0.019305989059606288
3,8-BALL/,Hero,3770,na,139,9591.0,0.3930768428735273
4,"ABBOTT, JACK",Hero,88796,na,2108,2220778.0,0.039984185722300926
5,ABCISSA,Hero,121704,na,3040,4619280.0,0.02634696316309035
6,ABEL,Hero,39607,na,859,368511.0,0.10747847418394567
7,ABOMINATION/EMIL BLO,Villain,165928,na,5713,16316328.0,0.010169444987867367
8,ABOMINATION | MUTANT,Villain,41081,na,785,307720.0,0.13350123488886
9,ABOMINATRIX,Villain,91072,na,1833,1679028.0,0.05424090604802302
10,ABRAXAS,Villain,118017,na,2816,3963520.0,0.029775805344744066
11,ABSALOM,Villain,89193,na,1922,1846081.0,0.04831478142075023
12,ABSORBING MAN/CARL C,Villain,163329,na,5561,15459580.0,0.010564905385527939
13,ABSORBING MAN | MUTA,Villain,41081,na,785,307720.0,0.13350123488886
14,ACBA,Hero,94533,na,2002,2003001.0,0.047195682877841795
15,"ACHEBE, REVEREND DOC",Hero,129425,na,3283,5387403.0,0.02402363439304615
16,ACHILLES II/HELMUT,Hero,119971,na,2963,4388203.0,0.027339437122667298
17,ACHILLES,Hero,1825,na,84,3486.0,0.5235226620768789
18,ACROBAT/CARL ZANTE,Villain,112029,na,2586,3342405.0,0.03351748217226817
19,"ADAM 3,031",Hero,61442,na,1199,718201.0,0.08554986695924957
20,"ADAMS, CINDY",Hero,142127,na,3941,7763770.0,0.01830644132940569
21,"ADAMS, CONGRESSMAN H",Hero,81554,na,1867,1741911.0,0.04681869509980705
22,"ADAMS, GEORGE",Hero,43342,na,832,345696.0,0.1253760529482551
23,"ADAMS, MARTHA",Hero,43342,na,832,345696.0,0.1253760529482551
24,"ADAMS, NICOLE NIKKI",Hero,146324,na,4186,8759205.0,0.016705169019334516
25,"ADAMSON, JASON",Hero,21,na,10,45.0,0.4666666666666667
26,"ADAMSON, REBECCA",Hero,21,na,10,45.0,0.4666666666666667
27,ADAM X,Hero,109501,na,2479,3071481.0,0.0356508798198654
28,ADMIRAL PROTOCOL/,Hero,73010,na,1449,1049076.0,0.06959457656070675
29,ADORA,Hero,139445,na,3906,7626465.0,0.018284355858185934
30,ADORA CLONE,Hero,54491,na,1072,574056.0,0.09492279498864223
31,ADRIA,Hero,59977,na,1178,693253.0,0.086515312591507
32,ADVA,Hero,131192,na,3455,5966785.0,0.021987049977500447
33,ADVENT/KYLE GROBE,Hero,59656,na,1227,752151.0,0.07931386117947062
34,ADVERSARY,Villain,110735,na,2645,3496690.0,0.03166852080110047
35,AEGIS/TREY ROLLINS,Hero,141668,na,3813,7267578.0,0.019493151638688984
36,AENTAROS,Hero,92797,na,1937,1875016.0,0.0494913110074794
37,AFTERLIFE,Hero,57430,na,1115,621055.0,0.09247168125206302
38,AGAMEMNON II/ANDREI,Hero,87736,na,1825,1664400.0,0.052713290074501325
39,AGAMEMNON III/,Hero,131665,na,3525,6211050.0,0.021198509108765827
40,AGAMEMNON,Hero,1825,na,84,3486.0,0.5235226620768789
41,AGAMOTTO,Hero,113944,na,3020,4558690.0,0.02499489985061498
42,"AGARN, CAPT.",Hero,1121,na,79,3081.0,0.3638429081467056
43,AGED GENGHIS,Hero,79918,na,1647,1355481.0,0.05895914439228584
44,"AGEE, DR. AUBREY",Hero,111671,na,2618,3425653.0,0.032598456411084255
45,"AGEE, REBECCA",Hero,105008,na,2332,2717946.0,0.03863505750298203
46,AGENT 18/JACK TRUMAN,Hero,83135,na,2008,2015028.0,0.04125749121104024
47,AGENT AXIS/,Hero,108006,na,2434,2960961.0,0.036476670918664585
48,AGENT-X/,Hero,103857,na,2296,2634660.0,0.03941950764045456
49,AGGAMON,Villain,55849,na,1100,604450.0,0.0923963934155017
50,AGINAR,Hero,117819,na,2698,3638253.0,0.03238339939525921
51,AGON,Hero,47591,na,897,401856.0,0.11842799410734194
52,AGONY/,Villain,129139,na,3296,5430160.0,0.02378180385108358
53,"AGUIRRE, ISOBEL",Hero,94364,na,2040,2079780.0,0.045372106665128045
54,AHAB/RORY CAMPBELL,Villain,147746,na,4424,9783676.0,0.015101276861580453
55,AHQLAU,Hero,45444,na,838,350703.0,0.12957972985688745
56,AHURA,Hero,125611,na,3149,4956526.0,0.025342548389739105
57,AI-CHIA,Hero,72436,na,1383,955653.0,0.07579738670835544
58,AINET,Hero,123596,na,3244,5260146.0,0.023496686213652626
59,AIRBORNE/,Hero,138265,na,3615,6532305.0,0.021166341743075377
60,AIREO/AEOLUS [INHUMA,Hero,128757,na,3302,5449951.0,0.023625350026082802
61,AIR WALKER/ARLO SAMU,Hero,6932,na,191,18145.0,0.38203361807660513
62,AIR-WALKER/GABRIEL L,Villain,109704,na,2555,3262735.0,0.033623325216421196
63,AJAK/TECUMOTZIN [ETE,Hero,163406,na,5555,15426235.0,0.010592733742225502
64,AJAX,Villain,141253,na,3871,7490385.0,0.018857909172892984
65,AJAX II,Villain,6826,na,295,43365.0,0.1574080479649487
66,AJES'HA,Hero,95777,na,2027,2053351.0,0.04664424153493484
67,AKAFE,Hero,85671,na,1730,1495585.0,0.057282601791272314
68,AKULIA,Hero,14242,na,290,41905.0,0.3398639780455793
69,"AKUTAGAWA, OSAMU",Hero,115169,na,2679,3587181.0,0.03210571197829159
70,ALANYA,Hero,111882,na,2538,3219453.0,0.03475186623317688
71,ALBERIK,Hero,76769,na,1489,1107816.0,0.06929760898921843
72,ALBERT,Hero,129693,na,3403,5788503.0,0.022405274731653418
73,ALBINO/DR. AUGUSTA S,Hero,95923,na,2034,2067561.0,0.04639427808901406
74,"ALBUQUERQUE, JEREMIA",Hero,34684,na,731,266815.0,0.1299926915653168
75,ALCHEMY/THOMAS JONES,Hero,110760,na,2619,3428271.0,0.03230783097368907
76,"ALDEN, PROF. MEREDIT",Hero,123842,na,3052,4655826.0,0.02659936174590717
77,"ALEGRIA, RICHIE",Hero,58006,na,1129,636756.0,0.09109611845039545
78,"ALEXANDER, CALEB",Hero,137490,na,3898,7595253.0,0.018102096138206323
79,"ALEXANDER, CARRIE",Hero,153457,na,4797,11503206.0,0.013340367893959301
80,ALFY,Hero,120155,na,3001,4501500.0,0.026692213706542265
81,ALIOTH,Villain,47150,na,884,390286.0,0.12080884274608876
82,ALISTRO,Hero,40991,na,778,302253.0,0.1356181741785855
83,ALIST,Hero,35775,na,688,236328.0,0.15137859246471005
84,AL-KHALAD,Hero,36347,na,670,224115.0,0.16218013073645227
85,"ALLEN, TERRY",Hero,112158,na,2677,3581826.0,0.031313078859777105
86,"ALOUETTE, GENARD",Hero,58270,na,1213,735078.0,0.0792704991851205
87,ALPHA,Villain,107997,na,2431,2953665.0,0.03656372675980519
88,"ALRAUNE, MARLENE",Hero,147791,na,4470,9988215.0,0.01479653771970267
89,"ALVAREZ, CARLY",Hero,127214,na,3154,4972281.0,0.02558463610564246
90,"ALVAREZ, FELIX",Hero,129558,na,3407,5802121.0,0.02232942056878855
91,"ALVAREZ, PAUL",Hero,106652,na,2367,2800161.0,0.03808780995092782
92,AMAZO-MAXI-WOMAN/,Hero,21,na,7,21.0,1.0
93,AMAZON,Hero,95614,na,1957,1913946.0,0.049956477350980646
94,AMENHOTEP,Hero,91800,na,1793,1606528.0,0.057141861206278385
95,AMERICAN EAGLE III/J,Hero,161805,na,5473,14974128.0,0.010805637563669817
96,AMERICAN EAGLE II/JA,Hero,132570,na,3476,6039550.0,0.021950310867531523
97,AMERICAN SAMURAI/,Hero,51010,na,1034,534061.0,0.09551343385867907
98,AMERICOP/,Villain,98171,na,2092,2187186.0,0.04488461429434899
99,AMIKO,Hero,97066,na,2132,2271646.0,0.04272936892455955
100,AMINEDI,Hero,32656,na,578,166753.0,0.19583455769911187
101,AMPERE/,Hero,83177,na,1563,1220703.0,0.06813860537739319
102,AMPHARON,Hero,96761,na,2272,2579856.0,0.03750635694395346
103,AMPHIBIAN/KINGLEY RI,Hero,137422,na,3779,7138531.0,0.019250739402826716
104,AMPHIBIUS,Villain,154984,na,4745,11255140.0,0.013770064166238714
105,ANACONDA/BLANCHE SIT,Villain,154935,na,4747,11264631.0,0.013754112318459433
106,ANAIS,Hero,74932,na,1470,1079715.0,0.06939979531635664
