hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
24-HOUR MAN/EMMANUEL,Hero,0,na,1,0.0,
3-D MAN/CHARLES CHAN,Hero,3785,na,306,46665.0,0.081110039644273
4-D MAN/MERCURIO,Villain,2828,na,258,33153.0,0.08530148101227641
8-BALL/,Hero,0,na,1,0.0,
"ABBOTT, JACK",Hero,1517,na,146,10585.0,0.14331601322626358
ABCISSA,Hero,883,na,87,3741.0,0.2360331462175889
ABEL,Hero,0,na,1,0.0,
ABOMINATION/EMIL BLO,Villain,6028,na,501,125250.0,0.048127744510978045
ABOMINATION | MUTANT,Villain,102,na,28,378.0,0.2698412698412698
ABOMINATRIX,Villain,1,na,2,1.0,1.0
ABRAXAS,Villain,0,na,1,0.0,
ABSALOM,Villain,1267,na,144,10296.0,0.12305749805749806
ABSORBING MAN/CARL C,Villain,6687,na,599,179101.0,0.037336474949888614
ABSORBING MAN | MUTA,Villain,102,na,28,378.0,0.2698412698412698
ACBA,Hero,998,na,103,5253.0,0.18998667428136304
"ACHEBE, REVEREND DOC",Hero,2505,na,206,21115.0,0.11863604072933934
ACHILLES II/HELMUT,Hero,2564,na,196,19110.0,0.13417059131344847
ACHILLES,Hero,30,na,12,66.0,0.45454545454545453
ACROBAT/CARL ZANTE,Villain,0,na,1,0.0,
"ADAM 3,031",Hero,0,na,1,0.0,
"ADAMS, CINDY",Hero,689,na,76,2850.0,0.24175438596491228
"ADAMS, CONGRESSMAN H",Hero,1976,na,195,18915.0,0.10446735395189004
"ADAMS, GEORGE",Hero,369,na,48,1128.0,0.3271276595744681
"ADAMS, MARTHA",Hero,369,na,48,1128.0,0.3271276595744681
"ADAMS, NICOLE NIKKI",Hero,3375,na,275,37675.0,0.08958195089581951
"ADAMSON, JASON",Hero,0,na,1,0.0,
"ADAMSON, REBECCA",Hero,0,na,1,0.0,
ADAM X,Hero,2248,na,220,24090.0,0.0933167289331673
ADMIRAL PROTOCOL/,Hero,1,na,2,1.0,1.0
ADORA,Hero,1303,na,136,9180.0,0.14193899782135078
ADORA CLONE,Hero,7,na,6,15.0,0.4666666666666667
ADRIA,Hero,388,na,50,1225.0,0.31673469387755104
ADVA,Hero,233,na,46,1035.0,0.2251207729468599
ADVENT/KYLE GROBE,Hero,0,na,1,0.0,
ADVERSARY,Villain,4116,na,317,50086.0,0.0821786527173262
AEGIS/TREY ROLLINS,Hero,1016,na,98,4753.0,0.21375973069640228
AENTAROS,Hero,1,na,2,1.0,1.0
AFTERLIFE,Hero,178,na,26,325.0,0.5476923076923077
AGAMEMNON II/ANDREI,Hero,2385,na,214,22791.0,0.10464657101487429
AGAMEMNON III/,Hero,1954,na,165,13530.0,0.14441980783444197
AGAMEMNON,Hero,30,na,12,66.0,0.45454545454545453
AGAMOTTO,Hero,2648,na,236,27730.0,0.09549224666426254
"AGARN, CAPT.",Hero,0,na,1,0.0,
AGED GENGHIS,Hero,2457,na,218,23653.0,0.10387688665285587
"AGEE, DR. AUBREY",Hero,2167,na,218,23653.0,0.0916162854606181
"AGEE, REBECCA",Hero,965,na,99,4851.0,0.1989280560709132
AGENT 18/JACK TRUMAN,Hero,1992,na,197,19306.0,0.10318035843779136
AGENT AXIS/,Hero,252,na,39,741.0,0.340080971659919
AGENT-X/,Hero,2088,na,171,14535.0,0.1436532507739938
AGGAMON,Villain,0,na,1,0.0,
AGINAR,Hero,135,na,33,528.0,0.2556818181818182
AGON,Hero,883,na,94,4371.0,0.2020132692747655
AGONY/,Villain,2454,na,218,23653.0,0.10375005284741894
"AGUIRRE, ISOBEL",Hero,1140,na,103,5253.0,0.21701884637350086
AHAB/RORY CAMPBELL,Villain,4893,na,402,80601.0,0.06070644284810362
AHQLAU,Hero,0,na,1,0.0,
AHURA,Hero,3590,na,310,47895.0,0.07495563211191147
AI-CHIA,Hero,0,na,1,0.0,
AINET,Hero,1885,na,191,18145.0,0.10388536786993662
AIRBORNE/,Hero,5404,na,415,85905.0,0.06290669926081136
AIREO/AEOLUS [INHUMA,Hero,1517,na,146,10585.0,0.14331601322626358
AIR WALKER/ARLO SAMU,Hero,0,na,1,0.0,
AIR-WALKER/GABRIEL L,Villain,1452,na,141,9870.0,0.14711246200607903
AJAK/TECUMOTZIN [ETE,Hero,4035,na,340,57630.0,0.07001561686621552
AJAX,Villain,1906,na,157,12246.0,0.15564265882737222
AJAX II,Villain,325,na,61,1830.0,0.17759562841530055
AJES'HA,Hero,2111,na,150,11175.0,0.18890380313199104
AKAFE,Hero,291,na,43,903.0,0.3222591362126246
AKULIA,Hero,0,na,1,0.0,
"AKUTAGAWA, OSAMU",Hero,268,na,37,666.0,0.4024024024024024
ALANYA,Hero,834,na,71,2485.0,0.3356136820925553
ALBERIK,Hero,212,na,41,820.0,0.25853658536585367
ALBERT,Hero,1485,na,141,9870.0,0.15045592705167174
ALBINO/DR. AUGUSTA S,Hero,626,na,75,2775.0,0.22558558558558559
"ALBUQUERQUE, JEREMIA",Hero,0,na,1,0.0,
ALCHEMY/THOMAS JONES,Hero,2811,na,238,28203.0,0.09967024784597384
"ALDEN, PROF. MEREDIT",Hero,3047,na,252,31626.0,0.09634477961171188
"ALEGRIA, RICHIE",Hero,344,na,65,2080.0,0.16538461538461538
"ALEXANDER, CALEB",Hero,2930,na,252,31626.0,0.0926452918484791
"ALEXANDER, CARRIE",Hero,3511,na,289,41616.0,0.08436658977316416
ALFY,Hero,2903,na,249,30876.0,0.09402124627542428
ALIOTH,Villain,6,na,5,10.0,0.6
ALISTRO,Hero,1019,na,95,4465.0,0.2282194848824188
ALIST,Hero,0,na,1,0.0,
AL-KHALAD,Hero,1976,na,171,14535.0,0.13594771241830064
"ALLEN, TERRY",Hero,661,na,65,2080.0,0.3177884615384615
"ALOUETTE, GENARD",Hero,1268,na,129,8256.0,0.15358527131782945
ALPHA,Villain,1975,na,170,14365.0,0.13748694744169856
"ALRAUNE, MARLENE",Hero,4067,na,328,53628.0,0.07583724919818005
"ALVAREZ, CARLY",Hero,4111,na,344,58996.0,0.06968269035188826
"ALVAREZ, FELIX",Hero,4449,na,368,67528.0,0.06588378154247126
"ALVAREZ, PAUL",Hero,523,na,56,1540.0,0.3396103896103896
AMAZO-MAXI-WOMAN/,Hero,0,na,1,0.0,
AMAZON,Hero,528,na,52,1326.0,0.39819004524886875
AMENHOTEP,Hero,352,na,56,1540.0,0.22857142857142856
AMERICAN EAGLE III/J,Hero,3867,na,315,49455.0,0.07819229602669094
AMERICAN EAGLE II/JA,Hero,137,na,31,465.0,0.2946236559139785
AMERICAN SAMURAI/,Hero,41,na,16,120.0,0.3416666666666667
AMERICOP/,Villain,3256,na,256,32640.0,0.09975490196078432
AMIKO,Hero,239,na,46,1035.0,0.23091787439613526
AMINEDI,Hero,1449,na,124,7626.0,0.19000786782061369
AMPERE/,Hero,0,na,1,0.0,
AMPHARON,Hero,1139,na,119,7021.0,0.162227602905569
AMPHIBIAN/KINGLEY RI,Hero,1044,na,111,6105.0,0.171007371007371
AMPHIBIUS,Villain,5092,na,409,83436.0,0.061028812502996306
ANACONDA/BLANCHE SIT,Villain,6003,na,492,120786.0,0.049699468481446525
ANAIS,Hero,730,na,77,2926.0,0.24948735475051265
ANAK,Hero,547,na,74,2701.0,0.20251758607922993
ANALYZER,Hero,2947,na,266,35245.0,0.08361469712015888
"ANAMI, HIROSHI",Hero,0,na,1,0.0,
ANANASTASIA/ANNA,Hero,187,na,48,1128.0,0.16578014184397163
ANARCHIST/TIKE ALICA,Hero,3,na,3,3.0,1.0
ANCESTOR/,Hero,564,na,61,1830.0,0.3081967213114754
ANCIENT ONE,Hero,3839,na,329,53956.0,0.07115056712877159
ANCIENT ONE/BARON MO,Hero,111,na,29,406.0,0.2733990147783251
"ANDERS, JOSHUA RICHI",Hero,1,na,2,1.0,1.0
"ANDERSON, BAXTER",Hero,537,na,69,2346.0,0.2289002557544757
"ANDERSON, CHARLES",Hero,2923,na,259,33411.0,0.08748615725359911
"ANDERSON, CHET",Hero,0,na,1,0.0,
"ANDERSON, CHIEF MAGI",Hero,2825,na,244,29646.0,0.09529110166632936
"ANDERSON, GINA",Hero,0,na,1,0.0,
"ANDERSON, MARJORIE",Hero,0,na,1,0.0,
"ANDERSON, NICKY",Hero,0,na,1,0.0,
"ANDERSSEN, TANYA",Hero,4699,na,369,67896.0,0.0692087899139861
"ANDREWS, DARYL TROOP",Hero,304,na,50,1225.0,0.24816326530612245
ANDROMEDA/ANDROMEDA,Hero,5139,na,434,93961.0,0.054692904502932065
ANDROS,Hero,1996,na,197,19306.0,0.10338754791256605
ANDWELLA,Hero,762,na,86,3655.0,0.20848153214774282
ANELLE,Hero,1124,na,113,6328.0,0.17762326169405815
ANGAR THE SCREAMER/D,Hero,5282,na,437,95266.0,0.05544475468687674
ANGEL 2013,Hero,0,na,1,0.0,
ANGEL DOPPELGANGER,Villain,4051,na,340,57630.0,0.07029325004338019
ANGEL III/HALLOWAY,Hero,2496,na,224,24976.0,0.09993593850096093
ANGEL II/THOMAS HALL,Hero,1,na,2,1.0,1.0
ANGEL IV,Hero,1881,na,171,14535.0,0.12941176470588237
"ANGELOPOULOS, ANGEL",Hero,0,na,1,0.0,
ANGEL/WARREN KENNETH,Hero,7270,na,695,241165.0,0.030145336180623226
ANGKOR,Villain,0,na,1,0.0,
ANGLER,Hero,193,na,42,861.0,0.22415795586527293
"ANGSTROM, EARL",Hero,182,na,37,666.0,0.2732732732732733
ANIELLE,Hero,0,na,1,0.0,
ANIMATOR/DR. FREDRIC,Villain,2889,na,231,26565.0,0.10875211744776962
ANIMATOR II/,Villain,0,na,1,0.0,
ANIMUS,Hero,0,na,1,0.0,
ANNALEE,Villain,3419,na,272,36856.0,0.09276644237030605
ANNIHILUS,Villain,4888,na,422,88831.0,0.05502583557541849
ANOMALY III,Hero,0,na,1,0.0,
ANOMALY,Hero,61,na,19,171.0,0.3567251461988304
"ANON, LORD",Hero,495,na,65,2080.0,0.23798076923076922
ANSWER II/DAVID FERR,Villain,969,na,99,4851.0,0.1997526283240569
ANSWER,Villain,3904,na,310,47895.0,0.08151164004593381
ANTEUS,Hero,3803,na,306,46665.0,0.0814957677059895
ANTHROMORPHO,Hero,2777,na,255,32385.0,0.08574957542071947
ANTIBODY,Hero,0,na,1,0.0,
ANTI-PHOENIX,Hero,0,na,1,0.0,
ANTIQUARY/,Hero,0,na,1,0.0,
ANTI-VISION,Hero,343,na,48,1128.0,0.30407801418439717
ANT-MAN/DR. HENRY J.,Hero,7322,na,705,248160.0,0.02950515796260477
ANT-MAN II/SCOTT HAR,Hero,6736,na,597,177906.0,0.0378626915337313
