node_id,address,name,countries,country_codes,sourceID,valid_until,note,working_address
24000001,"ANNEX FREDERICK & SHIRLEY STS, P.O. BOX N-4805, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,annex frederick and shirley street po box n4805 nassau bahamas
24000002,"SUITE E-2,UNION COURT BUILDING, P.O. BOX N-8188, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,suite e2union court building po box n8188 nassau bahamas
24000003,"LYFORD CAY HOUSE, LYFORD CAY, P.O. BOX N-7785, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,lyford cay house lyford cay po box n7785 nassau bahamas
24000004,"P.O. BOX N-3708 BAHAMAS FINANCIAL CENTRE, P.O. BOX N-3708 SHIRLEY & CHARLOTTE STS, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,po box n3708 bahamas financial centre po box n3708 shirley and charlotte street nassau bahamas
24000005,"LYFORD CAY HOUSE, 3RD FLOOR, LYFORD CAY, P.O. BOX N-3024, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,lyford cay house third floor lyford cay po box n3024 nassau bahamas
24000006,"303 SHIRLEY STREET, P.O. BOX N-492, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,303 shirley street po box n492 nassau bahamas
24000007,"OCEAN CENTRE, MONTAGU FORESHORE, P.O. BOX SS-19084 EAST BAY STREET, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,ocean centre montagu foreshore po box ss19084 east bay street nassau bahamas
24000008,"PROVIDENCE HOUSE, EAST WING EAST HILL ST, P.O. BOX CB-12399, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,providence house east wing east hillstreetpo box cb12399 nassau bahamas
24000009,"BAYSIDE EXECUTIVE PARK, WEST BAY & BLAKE, P.O. BOX N-4875, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,bayside executive park west bay and blake po box n4875 nassau bahamas
24000010,"GROUND FLOOR, GOODMAN'S BAY CORPORATE CE, P.O. BOX N 3933, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,ground floor goodmans bay corporate ce po box n 3933 nassau bahamas
24000011,"TK HOUSE, BAYSIDE EXECUTIVE PARK, P.O. BOX AP-59213 WEST BAY & BLAKE ROAD, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,tk house bayside executive park po box ap59213 west bay and blake road nassau bahamas
24000012,"BAYSIDE HOUSE WEST BAY & BLAKE ROAD, P.O. BOX AP-59213, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,bayside house west bay and blake road po box ap59213 nassau bahamas
24000013,"#308 EAST BAY ST. 4TH FLOOR, P.O. BOX N-7768, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,308 east baystreetfourth floor po box n7768 nassau bahamas
24000014,"THE RIGARNO BUILDING BAY & VICTORIA AVE., P.O. BOX N-4755, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,the rigarno building bay and victoria avenuepo box n4755 nassau bahamas
24000015,"#1 MILLARS COURT, P.O. BOX N-7117, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,1 millars court po box n7117 nassau bahamas
24000016,"MAREVA HOUSE 4 GEORGE STREET, P.O. BOX N-3937, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,mareva house 4 george street po box n3937 nassau bahamas
24000017,"SASSOON HOUSE SHIRLEY ST. & VICTORIA AVE, P.O. BOX SS-5383, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,sassoon house shirleystreetand victoria avenuepo box ss5383 nassau bahamas
24000018,"WINTERBOTHAM PLACE MARLBOROUGH & QUEEN, P.O. BOX N-10429, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,winterbotham place marlborough and queen po box n10429 nassau bahamas
24000019,"P.O. BOX N-3242, 3RD FLOOR, MONTAGUE STERLING CENTRE, EAST BAY STREET",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,po box n3242 third floor montague sterling centre east bay street
24000020,"P.O. BOX N-9100, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,po box n9100 nassau bahamas
24000021,"ROBINSON ROAD, P.O. BOX CB 13050, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,robinson road po box cb 13050 nassau bahamas
24000022,"3RD FLOOR, ONE MONTAGUE PLACE, EAST BAY ST. P.O. BOX N3231, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,third floor one montague place east baystreetpo box n3231 nassau bahamas
24000023,"BAHAMAS FINANCIAL CENTRE, P.O. BOX N-3023, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,bahamas financial centre po box n3023 nassau bahamas
24000024,"P.O. BOX N 529, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,po box n 529 nassau bahamas
24000025,"WINTERBOTHAM PLACE, MARLBOROUGH & QUEEN, P.O. BOX SS-19195, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,winterbotham place marlborough and queen po box ss19195 nassau bahamas
24000026,"3RD FLOOR, MONTAQUE STERLING CENTRE, P.O. BOX N-3242, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,third floor montaque sterling centre po box n3242 nassau bahamas
24000027,"P.O. BOX GT-2503, NASSAU",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,po box gt2503 nassau
24000028,"BAYSIDE EXECUTIVE PARK, BLAKE ROAD, P.O. BOX N-4837, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,bayside executive park blake road po box n4837 nassau bahamas
24000029,"#680 EAST BAY STREET, P.O. BOX N-8199, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,680 east bay street po box n8199 nassau bahamas
24000030,"CHARLOTTE HOUSE, CHARLOTTE STREET, P.O. BOX N-341, NASSAU, BAHAMAS",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,charlotte house charlotte street po box n341 nassau bahamas
24000031,"P.O. BOX N-4465, NASSAU",,Bahamas,BHS,Bahamas Leaks,The Bahamas Leaks data is current through early 2016.,,po box n4465 nassau
